cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
1030671931#0,1120936393,-1028570786#1,1057198633,379075314#2,-450523569,-22736445#0,89881814#0,55423023#0,273211156#5
1033723437,1147401994,1028570790#6,-71367237,27085148#5,368086828#3,168663972#4,683457657#2,-1124642428#2,198900384#4
25868124#0,171300278#2,170624691#6,47111169#0,682703711#2,-90795029,209210746#1,-89828177,643059741,40969576
265010573#0,23350417#0,-1028570785#1,-44886286#1,67027572#0,202903720,174022677#5,956159234,47118452#0,856631371#13
265010590#1,24059844,-1028572143#0,-47113636#14,89423681#1,368086828#10,-168683414#1,254327781#3,47118453#2,1245764631
59254368#1,285454834#0,-46875474,728136201#4,33625073#2,243206484#1,-120525537#6,182236078,-55423023#1,-95274313
968221183#8,311912291,-44884987#0,398675574#2,682699857#0,682261295,22562407#5,-585279933#0,1056405596#0,690601665
-4848912#4,333682042#0,1028573261#5,271934577#1,92204278#1,33625902#3,392940747#0,89825903#10,47118451#1,1055857393#0
1030669188,333682044,-44884665#4,47113630#0,231665609,1244504475#1,315539209#8,90835548#7,-1093327667#3,74314555#1
25868122,353940886,170624691#7,1058036879#1,-263956788#6,273211073#5,50877021#1,395264636#2,871576397#1,-46151739#2
-4848912#0,44837352,1028572152#3,45663908#0,-263936851#3,95396838#3,95396832#0,-89831417#2,-60647195,538982926#6
-177148861#0,721120031#1,170624687,47113642#0,264070491#2,368086842,392088983#3,34605313#1,-55889051#1,622650808
172368557#1,45017436#0,170624688#4,-1056405594#2,-93470027#1,314205670#1,71470206#5,-199311779#20,-47118452#0,97671397#6
-172368556,760588360#1,198929903,47981647#1,90636499#1,265176187#6,76187048#1,89881857#3,55889043,97671376#0
968221183#6,45172803#2,23766689#3,-724540987#1,263881214#0,94094796#5,528899353#1,89934436#0,421328432#0,157292833#7
968221183#7,548903448#2,-23288368#0,-136400684#11,-958539562#1,-254327780#1,392090724#6,156938659#14,55422998#1,240392355#3
-1030669187#0,-680781425#0,-1028570786#5,1058036874#0,139506064#2,95282524#0,168663959#2,145581936#1,-1056405596#0,97671387#1
1030669187#0,680781425#0,1028570786#8,164774173#2,92403802#1,368086832#6,-174022632#2,199311779#8,-47118453#1,157292833#3
-211690608,27241669#2,-368074417#1,796894966#9,408269726#4,156938703#2,30998553,-438132738#2,365706979#2,97671474#3
1030281241#2,257239011#1,-1028573261#4,71367225#1,92403859#0,682261292#0,135704845,533092485#2,-1189786111,-97685672
1093314337,1028619485#0,1028572140#0,44886285#2,93325432,368086828#4,1024125617#0,-89934436#2,-1189786108,-97671331#1
1093314338,257357822#0,172627210#1,71367244,44887720#0,95396825#4,174022679#1,98883477#11,-365706979#1,-46151739#0
-4848912#6,-285664452,170624724#0,-151560757#0,231876387#2,33640827#4,319196849#0,89822308,-55422998#0,1143901792#0
-154083437#0,285664450,-166899880#2,297026346#2,341182777,1031963660,184293865#2,683455644#3,-55881483#3,97671447
154083437#0,-45172805#0,1028574803,23604986#0,-1298032332#3,368086832#5,30929622#1,89934506#1,1057083594#2,74314565#0
