origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
5,2,43201.91560045604,999999,1,6,1
6,3,43201.91560045604,999999,6,4,1
1,6,43207.47427006762,999999,0,8,1
5,7,43208.213065853844,999999,6,1,1
5,6,43209.37617233195,999999,2,5,1
6,0,43209.37617233195,3,5,999999,1
6,5,43209.37617233195,1,5,5,1
5,7,43211.171213760936,999999,4,6,1
6,8,43211.171213760936,999999,0,6,1
1,6,43211.630956217494,999999,0,8,1
5,3,43211.630956217494,2,6,999999,1
5,3,43219.98722619609,4,0,999999,1
1,3,43230.88955312425,999999,0,2,1
1,4,43230.88955312425,999999,8,0,1
5,4,43230.88955312425,5,999999,0,1
8,6,43230.88955312425,999999,6,8,1
5,6,43231.02925059482,1,3,999999,1
6,8,43231.02925059482,999999,6,3,1
6,6,43234.704167986856,6,5,999999,1
5,1,43245.40880016706,5,999999,6,1
5,6,43245.40880016706,2,4,999999,1
8,6,43246.01693646832,999999,5,1,1
4,6,43250.46857011828,5,999999,2,1
1,1,43252.53880558793,999999,4,3,1
1,4,43252.53880558793,999999,8,5,1
1,6,43252.53880558793,1,999999,1,1
5,0,43252.53880558793,999999,1,5,1
5,5,43263.29932361215,999999,3,1,1
6,4,43263.29932361215,3,8,5,1
1,6,43264.33435543971,999999,3,5,1
5,7,43264.33435543971,3,999999,4,1
5,8,43264.33435543971,999999,8,0,1
8,3,43264.33435543971,1,999999,2,1
5,8,43270.87555783336,6,999999,0,1
6,6,43270.87555783336,999999,6,5,1
6,5,43273.09061497995,0,6,999999,1
8,0,43273.09061497995,2,8,999999,1
5,4,43273.34028125559,1,999999,6,1
5,6,43281.28874299916,999999,3,0,1
8,6,43281.28874299916,999999,6,3,1
5,5,43301.98246459922,5,5,6,1
6,3,43301.98246459922,1,999999,1,1
6,6,43301.98246459922,999999,5,1,1
1,4,43303.4151416957,999999,1,5,1
5,2,43303.4151416957,999999,0,1,1
6,1,43303.4151416957,999999,4,3,1
6,6,43303.4151416957,999999,5,2,1
6,6,43303.452372261345,7,999999,6,1
5,6,43307.353162807194,0,3,5,1
6,7,43308.23388726007,0,6,999999,1
5,2,43308.88448674115,2,0,999999,1
5,5,43308.88448674115,999999,6,3,1
1,5,43310.70507716062,999999,8,2,1
2,1,43310.70507716062,8,2,6,1
5,0,43312.165855301006,2,999999,4,1
6,0,43312.9984221555,3,999999,6,1
6,3,43312.9984221555,1,6,999999,1
4,0,43314.38043017436,3,8,999999,1
1,2,43315.19850667652,999999,3,1,1
5,6,43315.19850667652,6,999999,1,1
6,5,43315.19850667652,999999,1,6,1
5,8,43321.22999649758,2,0,999999,1
5,8,43321.22999649758,999999,4,5,1
6,6,43321.73935723333,999999,8,2,1
6,0,43322.044922803914,3,999999,6,1
6,2,43322.044922803914,1,999999,0,1
8,0,43322.044922803914,1,6,6,1
5,5,43325.41293078505,999999,0,6,1
5,7,43325.41293078505,999999,4,2,1
1,3,43325.743002352545,999999,5,0,1
1,6,43325.743002352545,999999,1,7,1
6,0,43325.743002352545,999999,1,5,1
4,1,43326.79001588524,999999,4,3,1
6,1,43326.79001588524,999999,3,6,1
8,3,43327.428615278375,999999,1,6,1
5,2,43327.92509887139,3,999999,8,1
8,7,43327.92509887139,999999,6,5,1
5,2,43330.1376092669,999999,6,0,1
5,5,43330.1376092669,0,999999,8,1
6,3,43331.22367323278,8,1,5,1
6,3,43331.22367323278,999999,5,5,1
6,6,43331.22367323278,999999,3,6,1
5,6,43336.22441839508,999999,0,8,1
5,2,43341.13196608117,1,999999,4,1
6,5,43343.83176075088,999999,3,4,1
1,6,43344.78604918605,999999,1,6,1
6,7,43347.086242669604,999999,5,2,1
7,2,43347.086242669604,999999,3,5,1
5,5,43353.21512792264,2,999999,8,1
6,1,43353.21512792264,7,999999,2,1
1,1,43353.636883189145,2,5,5,1
6,5,43353.636883189145,999999,8,8,1
4,8,43359.821129599804,2,3,6,1
5,1,43359.821129599804,6,4,999999,1
6,6,43359.821129599804,999999,2,2,1
5,3,43367.32422671467,6,6,999999,1
8,6,43367.32422671467,4,6,0,1
5,3,43368.03078824463,0,999999,0,1
5,4,43368.03078824463,999999,6,0,1
5,6,43368.144961731836,5,999999,1,1
6,5,43370.32526958382,999999,8,0,1
5,3,43374.5889228917,999999,0,5,1
5,7,43374.5889228917,999999,5,2,1
8,6,43374.5889228917,8,999999,999999,1
5,6,43378.4163609448,999999,0,999999,1
6,6,43378.4163609448,2,999999,8,1
6,0,43381.77378068526,1,999999,6,1
6,3,43381.77378068526,0,2,999999,1
6,3,43381.77378068526,999999,2,5,1
1,5,43382.65520322762,2,0,1,1
1,6,43382.65520322762,6,0,3,1
6,3,43383.26982706503,999999,5,0,1
5,2,43383.335109875676,8,4,3,1
5,2,43383.335109875676,999999,5,5,1
5,5,43383.335109875676,4,999999,2,1
4,2,43385.83355142472,3,1,6,1
5,1,43385.83355142472,999999,8,6,1
6,0,43385.83355142472,6,1,999999,1
6,2,43385.83355142472,8,6,999999,1
6,5,43385.83355142472,4,6,999999,1
6,4,43395.883642446366,2,999999,1,1
6,8,43395.883642446366,999999,3,4,1
6,4,43399.671134067234,999999,1,5,1
5,5,43401.18049573035,1,3,6,1
5,5,43403.097779140684,999999,1,0,1
6,1,43403.097779140684,5,999999,3,1
4,1,43404.19997772464,999999,4,3,1
8,3,43404.19997772464,999999,6,8,1
5,1,43404.45357416917,6,999999,6,1
8,5,43404.45357416917,999999,999999,6,1
5,1,43406.6707582797,5,999999,0,1
4,6,43411.05739689367,999999,1,0,1
5,5,43411.05739689367,5,999999,6,1
5,7,43411.05739689367,999999,0,3,1
6,2,43413.51911999903,999999,5,0,1
6,6,43413.51911999903,1,8,999999,1
5,2,43418.735089979346,8,3,999999,1
8,5,43418.735089979346,999999,1,4,1
6,2,43421.936978323356,1,5,999999,1
8,8,43421.936978323356,6,5,999999,1
2,5,43426.91522871982,6,999999,1,1
5,2,43426.91522871982,4,999999,6,1
5,5,43426.91522871982,8,999999,6,1
6,0,43426.91522871982,5,5,5,1
5,1,43431.87804219076,2,8,0,1
2,7,43432.613325457576,999999,6,6,1
5,3,43432.613325457576,0,8,6,1
6,5,43432.613325457576,999999,8,5,1
5,5,43434.31769988364,4,999999,3,1
5,5,43435.55733306198,7,999999,1,1
5,8,43436.05755250359,999999,6,3,1
4,2,43441.431533920884,999999,6,1,1
