origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
6,0,43210.523061450636,5,3,2,1
4,3,43214.88317327801,999999,6,5,1
5,1,43214.88317327801,999999,6,4,1
1,5,43218.50049093494,2,999999,6,1
1,5,43220.41641549239,6,999999,8,1
5,2,43221.01122090783,999999,6,5,1
6,8,43221.01122090783,999999,8,0,1
2,6,43222.18944214155,5,0,999999,1
1,6,43225.45565619242,5,1,999999,1
1,6,43225.45565619242,999999,8,0,1
6,6,43225.45565619242,999999,5,1,1
1,2,43226.23617276294,999999,3,0,1
6,8,43226.23617276294,999999,6,5,1
6,6,43226.40403007226,3,999999,8,1
2,1,43229.656568297745,999999,5,4,1
5,4,43229.656568297745,6,6,999999,1
5,2,43237.95452957641,999999,1,5,1
6,2,43237.95452957641,999999,6,6,1
6,6,43247.014904221935,999999,6,6,1
1,5,43248.86398477395,5,6,999999,1
4,8,43248.86398477395,999999,1,8,1
2,8,43250.56789310351,5,999999,3,1
4,0,43250.56789310351,999999,6,8,1
5,5,43250.56789310351,999999,4,3,1
1,0,43250.599910444194,5,999999,6,1
6,6,43250.599910444194,4,999999,3,1
1,7,43256.97794932212,999999,6,3,1
8,5,43256.97794932212,7,999999,2,1
1,8,43257.667446699146,5,999999,1,1
5,6,43257.667446699146,999999,4,8,1
8,1,43260.170016473785,2,5,999999,1
6,2,43264.73705674995,999999,1,999999,1
6,8,43281.893495022494,999999,3,2,1
5,2,43284.96564885626,6,999999,5,1
5,6,43290.30440986545,8,999999,0,1
6,1,43293.00785439028,2,5,0,1
8,3,43293.00785439028,8,999999,2,1
6,2,43296.20604550592,6,1,6,1
6,1,43305.152438950165,999999,8,6,1
1,4,43329.98868340082,999999,1,8,1
6,6,43337.09143611301,1,8,999999,1
5,4,43340.99305034377,4,1,999999,1
5,8,43342.51090946533,6,1,999999,1
5,2,43344.4849972899,6,2,999999,1
5,5,43348.853261182834,999999,6,5,1
6,6,43354.718811814055,999999,6,8,1
5,3,43372.806319909454,999999,5,5,1
5,0,43375.019136286086,999999,3,6,1
5,2,43375.019136286086,999999,1,8,1
5,3,43375.019136286086,999999,2,4,1
6,5,43375.019136286086,999999,5,0,1
5,3,43375.207483553604,999999,6,3,1
5,0,43380.9975687735,999999,6,3,1
6,8,43380.9975687735,999999,2,1,1
5,5,43384.909862444154,1,999999,8,1
5,6,43384.909862444154,5,8,999999,1
1,1,43393.98058922854,2,999999,5,1
2,0,43393.98058922854,999999,5,0,1
5,0,43406.984151282515,999999,2,3,1
5,6,43410.63731740438,999999,8,3,1
6,2,43410.63731740438,5,999999,3,1
8,5,43410.63731740438,999999,4,3,1
4,6,43413.65331642001,999999,0,2,1
5,1,43416.456758649285,999999,5,4,1
5,8,43424.73349912744,999999,6,0,1
