k,num_links,elapsed_time,max_memory_gb,memo,,k,num_links,elapsed_time,max_memory_gb
4,20,0.010970116,0.111328125,Success,,4,20,0.009608793,0.111523438
4,20,0.011677027,0.111328125,Success,,6,20,0.041317916,0.113525391
4,20,0.011482,0.110351563,Success,,8,20,0.035066509,0.124989319
4,20,0.010279417,0.110839844,Success,,10,20,0.040189028,0.120205689
4,20,0.00569272,0.110351563,Success,,4,30,0.061257482,0.127352524
4,20,0.006656885,0.110839844,Success,,6,30,0.205811119,0.136365128
4,20,0.009350777,0.112304688,Success,,8,30,0.768530679,0.16468544
4,20,0.010244846,0.11328125,Success,,10,30,1.722842646,0.208086395
4,20,0.00889349,0.111816406,Success,,4,40,0.176258159,0.154957199
4,20,0.010840654,0.112792969,Success,,6,40,1.598136067,0.233524704
6,20,0.059163809,0.114257813,Success,,8,40,8.333684539,0.557532883
6,20,0.050164461,0.112792969,Success,,10,40,25.24732273,1.226761246
6,20,0.050004005,0.112304688,Success,,4,50,0.319756818,0.420009613
6,20,0.045591116,0.112792969,Success,,6,50,7.23945818,0.812696838
6,20,0.038980722,0.113769531,Success,,8,50,44.96350765,2.262582779
6,20,0.028297186,0.112304688,Success,,10,50,201.318299,7.262604522
6,20,0.023123503,0.112304688,Success,,4,60,0.68015213,0.967947769
6,20,0.045626879,0.115234375,Success,,6,60,17.22047117,1.934653854
6,20,0.033520937,0.114257813,Success,,8,60,160.2252115,10.57587662
6,20,0.038706541,0.115234375,Success,,10,60,#DIV/0!,#DIV/0!
8,20,0.029457092,0.118537903,Success,,4,70,1.32121985,5.805391694
8,20,0.035950422,0.118659973,Success,,6,70,40.57012785,10.29415003
8,20,0.021417618,0.12329483,Success,,8,70,#DIV/0!,#DIV/0!
8,20,0.036274433,0.123603821,Success,,10,70,#DIV/0!,#DIV/0!
8,20,0.032690287,0.123584747,Success,,4,80,#DIV/0!,#DIV/0!
8,20,0.043994665,0.13325882,Success,,6,80,#DIV/0!,#DIV/0!
8,20,0.031953335,0.120300293,Success,,8,80,#DIV/0!,#DIV/0!
8,20,0.040788412,0.121658325,Success,,10,80,#DIV/0!,#DIV/0!
8,20,0.042458057,0.133640289,Success,,4,90,#DIV/0!,#DIV/0!
8,20,0.035680771,0.133354187,Success,,6,90,#DIV/0!,#DIV/0!
10,20,0.048036337,0.117404938,Success,,8,90,#DIV/0!,#DIV/0!
10,20,0.041690588,0.117397308,Success,,10,90,#DIV/0!,#DIV/0!
10,20,0.037151098,0.123081207,Success,,4,100,#DIV/0!,#DIV/0!
10,20,0.038069963,0.114746094,Success,,6,100,#DIV/0!,#DIV/0!
10,20,0.046904087,0.122398376,Success,,8,100,#DIV/0!,#DIV/0!
10,20,0.042928219,0.122261047,Success,,10,100,#DIV/0!,#DIV/0!
10,20,0.036395311,0.122886658,Success,,,,,
10,20,0.026295185,0.123569489,Success,,,,,
