time,vehicle_count
1.35,1
2.95,1
3.95,1
4.05,1
4.07,1
4.46,1
6.63,1
6.7,1
6.76,1
7.14,1
7.2,1
7.58,1
8.13,1
8.27,1
9.51,1
10.31,1
10.32,1
13.47,1
13.56,1
15.39,2
16.16,1
16.53,1
16.83,2
17.63,1
17.75,1
18.01,1
18.13,1
18.62,1
18.88,1
19.06,1
24.83,1
26.31,1
27.62,1
28.8,1
31.3,1
31.95,1
32.43,1
32.6,1
33.45,2
33.79,1
35.35,2
37.21,1
37.23,1
38.16,1
38.32,1
38.97,1
39.04,1
40.37,1
42.14,1
42.3,1
42.63,1
43.38,1
45.07,1
47.86,1
48.05,1
49.19,1
49.84,1
50.04,1
52.36,1
55.48,1
55.96,1
56.61,1
56.85,1
57.85,1
58.34,1
59.92,1
120.56,1
125.06,1
130.94,1
134.73,1
137.29,1
137.77,1
138.68,1
140.1,1
147.48,1
163.38,1
166.66,1
167.37,1
170.65,1
172.86,1
176.24,1
179.25,1
244.05,1
251.49,1
265.67,1
283.21,1
302.44,1
309.82,1
310.1,1
311.4,1
313.21,1
314.19,1
314.7,1
315.69,1
315.97,1
325.68,1
325.71,1
326.97,1
327.74,1
335.09,1
335.85,1
335.9,1
338.04,1
338.97,1
339.75,1
339.99,1
340.98,1
341.06,1
341.1,1
342.23,1
342.4,1
342.43,1
345.77,1
347.01,1
351.74,1
353.86,1
355.97,1
357.98,1
359.98,1
360.8,1
361.1,1
361.15,1
361.83,1
361.89,1
363.94,1
364.12,1
364.76,1
365.4,1
365.48,1
365.73,1
366.55,1
368.84,1
370.2,1
370.31,1
371.35,1
372.9,1
373.11,1
374.02,1
374.66,1
375.72,1
376.06,1
376.14,1
376.16,1
377.16,1
379.51,1
380.46,1
382.74,1
382.88,1
384.4,1
384.54,1
386.74,1
387.26,1
388.31,1
388.41,1
388.93,1
389.69,1
390.37,1
390.47,1
391.53,1
391.7,1
392.21,1
392.79,1
395.58,1
396.02,1
397.23,1
397.66,1
397.7,1
398.46,1
403.09,1
403.11,1
406.62,1
406.99,1
407.39,1
408.44,1
408.66,1
408.76,1
409.56,1
411.05,1
413.29,1
414.65,1
414.7,1
415.96,1
417.77,1
418.99,1
419.27,1
420.18,1
420.28,1
420.81,1
422.36,1
423.52,1
424.27,1
426.22,1
427.38,1
