group_id,edge_pos,edge_neg,orig_lanes_pos,orig_lanes_neg,zone1,zone2
0,45177681,4848887,2,2,0,1
1,1165717958,1103812306,2,2,0,1
1,1123082510,929013763,3,3,0,1
2,539237084#1,680788593#1,3,3,0,4
2,539237084#2,680788593#0,3,3,0,4
2,539237084#3,539237086#2,3,3,0,4
2,539237084#4,539237086#2,3,3,0,4
2,539237084#5,539237086#1,3,4,0,4
3,269150811#0,1031976629#6,3,3,0,4
3,269150811#0,1031976629#4,3,3,0,4
3,269150811#3,1031976629#1,3,3,0,4
4,163198815#0,179260411#6,2,3,0,4
4,163198815#2,179260411#4,2,3,0,4
5,-1031963656#5,1031963656#4,2,2,0,4
5,-1031963656#3,1031963656#3,2,2,0,4
5,-1031963656#2,1031963656#2,2,2,0,4
6,153190951#0,-153190951#2,2,2,0,4
6,993551535#0,-993551535#1,3,2,0,4
7,874155679#0,264448295#8,3,3,0,4
7,874155679#0,264448295#7,3,3,0,4
7,874155679#1,264448295#6,3,3,0,4
7,874155679#2,264448295#6,3,3,0,4
7,874155679#3,264448295#6,3,3,0,4
7,874155679#4,264448295#6,3,3,0,4
7,874155679#6,264448295#4,3,3,0,4
7,874155679#7,264448295#4,3,3,0,4
7,874155679#8,264448295#3,3,3,0,4
8,254326632#1,464000322#1,2,3,0,7
8,254326632#3,464000322#0,2,3,0,7
8,254326632#4,653297991,2,3,0,7
8,254326632#5,237528239#4,2,2,0,7
8,254326632#6,237528239#3,2,2,0,7
8,254326632#7,237528239#1,2,2,0,7
8,254326654#0,237528239#0,2,2,0,7
8,254326654#2,682262112#0,2,2,0,7
8,254326654#4,682262112#0,2,2,0,7
8,254326654#5,682262112#0,2,2,0,7
9,199311782#0,-199311782#1,2,2,0,7
9,199311782#2,-199311782#3,2,2,0,7
9,199311782#4,-1133878590,2,2,0,7
9,1133878592#0,-1133878592#1,2,2,0,7
9,1133878589#0,-1133878589#1,2,2,0,7
9,1133878589#2,-1133878589#2,2,2,0,7
9,1133878589#3,-1133878589#4,2,2,0,7
10,683459397#0,681548746#0,3,3,0,7
10,683459397#0,1299028152#3,3,3,0,7
10,683455644#1,1299028152#0,3,3,0,7
10,683455644#3,1299028152#0,3,3,0,7
10,683455644#4,1299028152#0,3,3,0,7
10,199311801#0,260425576#16,3,3,0,7
10,199311801#3,260425576#14,3,3,0,7
11,304919603#0,304919602#3,2,2,1,2
11,304919603#1,304919602#3,2,2,1,2
11,174022719#1,304919602#3-AddedOnRampEdge,2,3,1,2
11,174022719#1,304919602#1,2,2,1,2
12,209366310#1,623362974,3,3,1,2
12,209366310#1,174022673,3,2,1,2
12,174022636,209366292#5,2,2,1,2
12,174022680#0,209366292#5,1,2,1,2
13,257357822#4,101134273,3,3,1,2
13,101134266#0,304727781#0,2,2,1,2
14,135195086,1028241264,3,3,1,4
14,39629447#4,1028241264,2,3,1,4
14,39629447#2,1028241264,2,3,1,4
15,131156051#0-AddedOnRampEdge,131156028#1,2,1,1,4
15,131156051#0,131156028#1-AddedOnRampEdge,2,2,1,4
15,242897859,242897858,1,1,1,4
15,242897855,242897856,1,1,1,4
16,257357821#3,296689963#2,1,1,1,4
16,257357821#4,296689963#2,1,1,1,4
16,285664494#0,296689963#2,1,1,1,4
16,285664494#1,296689963#0,1,1,1,4
16,131156055,157296567,1,1,1,4
16,157292774,46151436#1,1,1,1,4
17,131156059#0,133287968,2,2,1,6
17,209210750,133287968,3,2,1,6
18,396771661#4,1028258369#0,2,2,1,6
18,174022652,174022655,2,2,1,6
18,174022662,396771658,2,2,1,6
18,30876642,1058417656,1,1,1,6
19,382680734,382681596,3,3,2,3
20,91096669#0,45018631#7,2,2,2,5
20,91096669#1,45018631#5,2,2,2,5
21,425464570#2,304727761#1,2,2,2,6
21,425464569,425640363,2,2,2,6
22,743671371#0,528899356#0,2,2,2,6
22,743671371#0,131633159,2,3,2,6
22,743671371#0,131633156#0,2,2,2,6
23,304727918#0,-131633149,2,2,2,6
23,184293855#0,131633158#6,4,4,2,6
24,44886560#1,365706946#0,2,2,3,5
24,44886560#1-AddedOnRampEdge,365706946#0-AddedOffRampEdge,3,3,3,5
24,4857837,365706946#1,2,2,3,5
25,-679653135#0,682712378,1,1,3,5
25,-185216944,185216944,1,1,3,5
25,-679941679,185216943,1,1,3,5
26,386246054#0,386246055#1,2,2,3,8
26,386246054#0-AddedOffRampEdge,386246055#1-AddedOnRampEdge,3,3,3,8
26,386246054#1,185216941#0,2,2,3,8
26,72002813#0,59584806#2,2,2,3,8
27,643059741,680508514,2,2,3,8
27,643059741,680508514-AddedOnRampEdge,2,3,3,8
27,1237942418,1057083594#2,2,2,3,8
27,1057083595#1,1057083594#1,3,3,3,8
28,146191009#1,157044175#0,2,2,3,8
28,146191009#1,145988603,2,2,3,8
28,154088882#0,55886811#2,2,2,3,8
29,46151430,168663972#5,2,2,4,6
30,1287664259,95396813,2,2,4,6
31,273211100#1,-273211100#1,1,1,4,6
31,157238663,-157238663,2,2,4,6
31,71470206#0,-71470206#0,2,2,4,6
32,54786435,157292797,2,2,4,6
32,492041976#0,1297669676,2,2,4,6
32,492041976#0,1080759176#11,2,2,4,6
33,1051315753#2,156938703#2,2,2,4,6
33,1051315753#4,156938703#1,2,2,4,6
33,1051315753#4,969494639#1-AddedOffRampEdge,2,3,4,6
33,1051315753#4,969494639#1,2,2,4,6
33,1051315753#4,969494639#0,2,2,4,6
34,727402396#0,727402397#0,3,2,4,7
34,1126127669,1137748894#0,3,3,4,7
34,1126127669,156938658,3,3,4,7
34,772804652#0,381697487#12,3,3,4,7
34,772804652#3,381697487#6,3,3,4,7
34,381697486#2,381697487#6,3,3,4,7
35,-47416767#4,47416767#2,2,2,4,7
35,-47416767#1,47416767#0,2,2,4,7
35,-47416766,47416766,1,1,4,7
35,395264624#0,395264619#9,2,2,4,7
35,395264624#1,395264619#3,2,2,4,7
36,264114581#3,1057181620#1,3,3,4,7
36,379075311,32122364,3,4,4,7
36,1042122375#0,228056331,3,3,4,7
36,1042122375#1,228056312#1,3,4,4,7
36,1042122375#1,228056312#0,3,2,4,7
36,1042122375#1,682262118#0,3,2,4,7
37,156938654#4,436042880#12,2,2,5,6
37,156938654#2,436042880#14,2,2,5,6
37,156938653,436042880#16,2,2,5,6
37,1257133854,436042880#16,3,2,5,6
37,1257133853,304727850,4,3,5,6
37,304727835#1,304727850,3,3,5,6
37,304727835#0,1257133857,3,4,5,6
37,1257133852#1,1257133855#0,2,3,5,6
37,1257133852#0,1257133855#0,2,3,5,6
37,1257133851#2,1257133855#0,3,3,5,6
37,1257133851#0,1257133850#0,3,4,5,6
37,198929894#1,304727821#0,2,2,5,6
37,198929894#0,304727821#0,2,2,5,6
38,157292846#2,1080759180#6,2,2,5,6
38,157296585#0,1080759180#9,2,2,5,6
38,157296585#0,157296587#1,2,2,5,6
38,304727895#2,45664134#0,2,2,5,6
38,304727895#2,45664134#2,2,2,5,6
38,304727895#2,45664134#3,2,2,5,6
38,304727895#0,1279886347#0,2,2,5,6
39,-71470206#14,71470206#14,2,2,5,6
39,71470180,168683396,1,1,5,6
39,71470177#4,70364449#0,2,2,5,6
39,71470177#3,70364449#1,2,2,5,6
39,71470177#2,70364449#2,2,2,5,6
39,71470177#0,70364449#3,2,2,5,6
40,420083582,23298952#0,2,2,5,6
40,420083582,23298952#1,2,2,5,6
40,420083582,174022625,2,1,5,6
40,1057050910#3,1057050907#0,2,2,5,6
40,1057050910#2,1057050907#1,2,2,5,6
40,1057050910#1,1057050907#2,2,2,5,6
41,168663959#2,1056330394,2,2,5,6
41,168663959#1,1028570796#1,2,2,5,6
41,168663959#1,1028570796#2,2,2,5,6
41,1255617398#7,1028570796#3,2,2,5,6
41,1255617398#5,168663961#1,2,2,5,6
41,1028619491,168663961#3,2,2,5,6
42,744698554#6,196629586#2,1,1,5,8
42,1060235877#1,196629586#1,1,1,5,8
43,98593792#1,196629589#5,2,2,5,8
43,669098840#1,196629589#4,2,2,5,8
43,669098840#2,196629589#3,2,2,5,8
43,669098840#3,196629589#2,2,2,5,8
43,669098840#4,196629589#1,2,2,5,8
44,436042879#0,71366316#1,1,1,5,8
44,436042879#1,492215761,1,1,5,8
44,58686258#0,312194996#5,1,1,5,8
44,58686258#3,312194996#4,1,1,5,8
44,58686258#4,312194996#1,1,1,5,8
45,-436048951#2,436048951#0,2,2,6,8
45,-319196848#13,319196848#12,2,2,6,8
45,-319196848#11,319196848#11,2,2,6,8
46,436042882#0,312195000#0,2,2,6,8
46,436042882#1,312195000#0,2,2,6,8
46,436042882#2,312195000#0,2,2,6,8
46,1024128477#0,1024128476#0,2,2,6,8
46,772804658#0,1024128478#1,2,2,6,8
47,395264628#4,395264629#0,2,2,7,8
47,395264628#5,395264629#0,2,2,7,8
47,91689539,312195002#3,2,2,7,8
47,312195002#2,91689530#1,2,2,7,8
47,312195002#0,91689530#1,2,2,7,8
48,-91689528#4,91689528#2,2,2,7,8
48,-91689528#1,91689528#1,2,2,7,8
48,-91689528#0,91689528#0,2,2,7,8
48,-91689534,30947123#2,1,1,7,8
48,-30947123#0,30947123#0,1,1,7,8
49,436048944#0,-91689533,1,1,7,8
50,-54680194#2,54680194#0,1,1,7,8
50,-54680197,54680197,2,2,7,8
50,-1024115417,1024115417,1,1,7,8
51,23443532#0,-23443532#2,2,2,7,8
51,587870652,-587870652,2,3,7,8
51,91899428,-91899428,2,2,7,8
51,381697485#0,-381697485#0,1,1,7,8
