都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
382019,1000000001,愛媛県,松山市,愛媛県立中央病院,エヒメケンリツチュウオウビョウイン,病院,松山市春日町83,,33.8314789,132.7649427,,,,,,,,,,,,内科;精神科;脳神経内科;呼吸器内科;消化器内科;循環器内科;血液内科;糖尿病　内分泌内科;腎臓内科;漢方内科;新生児内科;ペインクリニック内科;消化器外科;乳腺　内分泌外科;小児科;外科;整形外科;形成外科;脳神経外科;呼吸器外科;心臓血管外科;小児外科;皮膚科;泌尿器科;産婦人科;眼科;耳鼻いんこう科;放射線科;麻酔科;リハビリテーション科;歯科;救急科;病理診療科,827,,
382019,1000000005,愛媛県,松山市,松山赤十字病院,マツヤマセキジュウジビョウイン,病院,松山市文京町1,,33.8484429,132.7741717,,,,,,,,,,,,内科;精神科;脳神経内科;呼吸器内科;消化器内科;循環器内科;小児科;外科;整形外科;形成外科;脳神経外科;呼吸器外科;心臓血管外科;小児外科;皮膚科;泌尿器科;産婦人科;眼科;耳鼻咽喉科;リハビリテーション科;放射線診断科;放射線治療科;麻酔科;心療内科;リウマチ科;歯科口腔外科;病理診断科;腎臓内科、肝臓;胆のう;膵臓内科、乳腺外科;血管外科;血液内科;糖尿病;内分泌内科,585,,
382019,1000000006,愛媛県,松山市,社会福祉法人恩賜財団済生会松山病院,サイセイカイマツヤマビョウイン,病院,松山市山西町880-2,,33.8523596,132.7208288,,,,,,,,,,,,内科;外科;整形外科;脳神経外科;皮膚科;泌尿器科;婦人科;眼科;放射線科;麻酔科;リハビリテーション科;循環器内科;脳神経内科;形成外科、消化器内科,199,,
382019,1000000008,愛媛県,松山市,医療法人順風会　天山病院,アマヤマビョウイン,病院,松山市天山2-3ｰ30,,33.8192208,132.7778142,,,,,,,,,,,,内科;放射線科;リハビリテーション科;消化器内科;循環器内科;呼吸器内科;小児科;整形外科;脳神経外科;糖尿病内科,160,,
382019,1000000011,愛媛県,松山市,奥島病院,オクジマビョウイン,病院,松山市道後町2-2ｰ1,,33.8481502,132.7828831,,,,,,,,,,,,内科;呼吸器内科;呼吸器外科;消化器内科;消化器外科;循環器内科;外科;整形外科;脳神経外科;泌尿器科;婦人科;リハビリテーション科;麻酔科;糖尿病内科;乳腺外科,184,,
382019,1000000015,愛媛県,松山市,貞本病院,サダモトビョウイン,病院,松山市竹原町1-6-1,,33.833536,132.7561841,,,,,,,,,,,,内科;循環器科;脳神経外科;耳鼻咽喉科;気管食道科;リハビリテーション科;放射線科;アレルギー科,60,,
382019,1000000018,愛媛県,松山市,愛媛生協病院,エヒメセイキョウビョウイン,病院,松山市来住町1091-1,,33.8087992,132.7986144,,,,,,,,,,,,内科;精神科;呼吸器内科;消化器内科;循環器内科;小児科;外科;整形外科;リハビリテーション科;アレルギー科(小児);肛門外科;リウマチ科;心療内科;,88,,
382019,1000000019,愛媛県,松山市,医療法人聖光会　鷹の子病院,タカノコビョウイン,病院,松山市鷹子町525-1,,33.8132174,132.8154683,,,,,,,,,,,,内科;消化器内科;循環器内科;脳神経外科;眼科;耳鼻咽喉科;リハビリテーション科;放射線科;糖尿病内科;内分泌・代謝内科;小児眼科;呼吸器内科,72,,
382019,1000000020,愛媛県,松山市,医療法人千寿会　道後温泉病院,ドウゴオンセンビョウイン,病院,松山市道後姫塚乙21-21,,33.8485015,132.7912348,,,,,,,,,,,,内科;整形外科;リハビリテーション科;リウマチ科;循環器内科,224,,
382019,1000000021,愛媛県,松山市,土橋共立病院,ドバシキョウリツビョウイン,病院,松山市土橋町3ｰ1,,33.8326935,132.7570306,,,,,,,,,,,,内科;整形外科;消化器科;リハビリテーション科;,55,,
