名称,所在地,緯度,経度
愛光公園,愛光町395番１,33.84668345,132.7497845
会津公園,会津町１１－６,33.86302644,132.7259194
青葉台公園,青葉台４４番地,33.85780117,132.7344486
朝日ヶ丘公園,朝日ヶ丘２丁目１４６４,33.84761574,132.7436138
明日の緑地,府中 516,33.95845133,132.7730738
朝生田公園,朝生田６丁目６番,33.81965892,132.7650967
天山公園,天山３丁目,33.81970736,132.7744382
新玉公園,三番町６丁目４－２１ 他,33.83835368,132.7598558
ありのきニュータウン緑地,河野中須賀221-18,33.9491983,132.7708977
粟井子供公園,和田　甲2-14外,33.93399986,132.7720278
安城寺西公園,安城寺町１３３４－１,33.88155594,132.7407657
飯岡公園,別府町５３８－３,33.84882214,132.7208573
石手川緑地,石手川河川敷,33.82292937,132.7610982
和泉公園,和泉北３丁目６６９－２,33.81915164,132.7566347
泉団地公園,鹿峰 136-2外,33.93794009,132.7718897
和泉南公園,和泉南４丁目４,33.81543282,132.7590592
伊台本村公園,上伊台町１８１－３,33.88678882,132.7930828
一の宮緑地,古川南３丁目,33.80395422,132.7671693
いつき公園,堀江町甲７６６－３７,33.90188707,132.7414033
いつき緑地,和気２丁目８５４－３４,33.902142,132.7372584
今在家公園,今在家３丁目,33.80463631,132.790809
今在家団地第１公園,今在家２丁目４２０－３１,33.80673974,132.7894873
今在家団地第2公園,今在家２丁目４２０－３２,33.80692088,132.7896276
祝谷北公園,祝谷６丁目,33.8608626,132.7761168
祝谷公園,祝谷４丁目８６９番地１ 他,33.85658257,132.7774498
祝谷一丁目公園,祝谷町１丁目,33.85528791,132.7849155
上野町中組公園,上野町甲５０４番４外,33.77191901,132.8041703
上野団地公園,上野町乙１０７番１７,33.77502339,132.7983331
上野町今市公園,上野町甲１４３４番２ 他,33.77646314,132.8100639
内新田公園,勝岡町６３,33.89740786,132.730371
内浜公園,内浜町１２－３,33.86578916,132.7276952
内宮公園,内宮町乙９２６－３,33.89621779,132.7501499
馬木公園,馬木町2404,33.88752193,132.7429136
梅西公園,南梅本町1048番4,33.79968942,132.8324205
梅西三角公園,南梅本町甲1092-25,33.80011325,132.8315938
枝松公園,枝松４丁目２２９－１ 他,33.83137934,132.7860704
恵原公園,恵原町甲４４５－１,33.76547345,132.8092572
大新田公園,西垣生町２８６,33.80865311,132.6996992
おおつか公園,馬木町2185,33.89340466,132.7439466
大西第二区公園,堀江町甲５１９－２,33.89948932,132.7421258
大渕公園,太山寺町,33.88469684,132.7323428
小川実緑地,小川 甲110-15,33.92914632,132.7620343
尾儀原公園,尾儀原甲４９番地３外１,33.97519076,132.8289126
奥久谷公園,久谷町乙１０６７番地１,33.72198064,132.8427114
奥土居公園,東垣生町７０６－１,33.81468132,132.7164027
小栗公園,小栗６丁目２０２－１,33.82682768,132.7551757
小栗第１公園,和泉北1丁目526番地,33.82575261,132.7618644
越智公園（越智町公園）,越智３丁目２２１番地１　　他,33.8105022,132.7802579
小野公園,水泥町８３９,33.80569826,132.835094
小野谷公園,北梅本町２７２０ 他,33.81877112,132.8483348
小山田公園,小山田 甲331-1外1,33.99170473,132.8444043
風早タウン公園,北条 20-152,33.97919074,132.7835
風早タウン緑地,北条 20-177外,33.97994778,132.7819042
門田公園,門田町２９０－２,33.90407168,132.688749
神前公園,溝辺町甲４３７－４,33.85176622,132.8072696
鴨川公園,鴨川３丁目１０４１－１,33.87426591,132.74934
萱町公園,萱町５丁目１０－１,33.85037682,132.7567276
川附公園（福音公園）,枝松６丁目１４－４,33.82445171,132.7847799
観月山公園,港山町２０２１,33.86881534,132.7153168
来住公園,来住町９８３－３,33.8056365,132.7997181
来住椿公園,来住町４９５－７,33.809697,132.803409
北梅本公園,北梅本町甲３３３１,33.81049321,132.850946
北梅本小山公園,北梅本町甲２４８１－１,33.81358363,132.8466521
北窪田公園,久米窪田町９３８－１,33.80665458,132.8109563
北久米七区公園,北久米町６４４,33.81732462,132.7954587
北久米八区公園,北久米町１０６９－１　他,33.81231367,132.7914258
北斎院公園,北斎院町２４２番地３他,33.83427428,132.7297424
北土居公園,北土居４丁目３１９－２,33.80751389,132.7852045
北古川公園（古川北公園）,古川北１丁目１３５－１,33.81400775,132.7627895
北吉田公園,北吉田町１２１１,33.83826032,132.7088498
木屋町公園,木屋町３丁目４－３,33.85218769,132.7601103
経石山公園,桑原四丁目４０８ 他,33.83059769,132.7940826
空港通1・２公園,空港通1丁目247番地　外,33.82767334,132.7503925
空港東公園,東垣生町９５０番地１　他,33.81687597,132.7115382
空港東第三公園,東垣生町６２８番地１,33.81559817,132.7143269
空港東第二公園,東垣生町９２８番地１,33.81691101,132.7151438
空港東第四公園,東垣生町８６９番地１,33.81794288,132.7151448
空港南公園,南吉田町２２６７番地,33.82139826,132.704747
空港南第二公園,南吉田町２４２８番地,33.82321098,132.7021943
国松北団地公園,北斎院町５５２番地３７,33.84287109,132.7291774
久保公園,久保３９９－１,33.93965216,132.7657131
窪田団地公園,久米窪田町４６０番地３８,33.80438747,132.8130532
久保田緑地,久保田町１５９番１　他,33.81963273,132.7204883
窪野公園,窪野町甲２９５番１　　他,33.74028225,132.8385861
久万ノ台公園,久万ノ台乙１７４９番地１　他,33.86011416,132.739265
久万ノ台緑地,久万ノ台１４２１－１,33.85764738,132.7373742
グリーンハイツ緑地,磯河内 100-3外,33.93216756,132.7635004
クレアガーデン公園,持田町1丁目１５５番地８,33.84366262,132.7853185
桑原公園,桑原５丁目６８８番地　外,33.83240126,132.790743
県立総合運動公園,上野町・西野町地内,33.76795754,132.7966658
河野公園,片山甲２２８－３,33.95120359,132.7699655
河野中須賀公園,河野中須賀 316-2外,33.94513815,132.7678011
河野中須賀南第一公園,河野中須賀460-16,33.94501848,132.7728571
河野中須賀南第三公園,河野中須賀392-12,33.94614149,132.7721849
河野中須賀南第二公園,河野中須賀477-5,33.94645482,132.7730294
河野別府公園（北条文化の森公園）,河野別府９２１－１,33.95811592,132.7793009
幸風苑緑地,勝岡町,33.89856426,132.7308355
