転出ゾーン,移動総数,市外,市内総数,番町,東雲,八坂,素鵞,雄郡,新玉,味酒,清水,桑原,道後,味生,生石,垣生,宮前,三津浜,高浜,久枝,潮見,和気,堀江,余土,由良,泊,久米,湯山,日浦,伊台,五明,小野,浮穴,石井,荏原,坂本,浅海,立岩,難波,正岡,北条,河野,粟井,睦野,東中島,西中島,神和
番町,382,192,190,50,9,21,11,25,8,2,11,3,4,9,2,,1,,,4,,2,4,4,,,6,2,,,,,,11,,,,1,,,,,,,,,
東雲,807,417,390,17,81,34,20,29,7,27,17,22,45,6,5,1,2,1,,6,3,3,4,10,,,16,3,,2,,2,1,22,2,,,1,,,1,,,,,,
八坂,498,198,300,13,23,45,34,24,4,12,8,17,18,3,2,,2,3,,6,2,3,3,15,,1,16,4,,3,,12,1,25,,,,,,,1,,,,,,
素鵞,1773,635,1138,18,26,37,346,63,24,31,35,105,46,32,9,2,13,,5,11,6,4,5,29,2,,71,18,,1,,16,17,143,7,,,2,1,,8,,5,,,,
雄郡,3025,1323,1702,24,38,32,65,514,61,84,62,48,25,84,67,34,15,8,8,44,21,9,25,124,1,,54,14,,4,3,22,20,169,7,2,,1,4,,7,1,1,,,,
新玉,1173,518,655,6,4,13,21,105,129,84,35,22,25,55,15,8,9,,2,7,2,2,2,21,,,17,6,,1,,11,2,30,12,,,,2,1,2,3,,,,1,
味酒,1835,867,968,14,20,9,37,81,61,257,91,18,40,52,21,8,16,4,14,53,18,12,14,26,,,24,7,,2,,2,3,45,6,1,,,,,2,4,4,1,1,,
清水,2360,983,1377,9,25,26,44,97,37,120,426,43,71,43,24,3,32,5,8,71,44,26,21,30,,,36,7,,4,1,4,15,70,11,,,1,4,,11,2,5,,1,,
桑原,1803,623,1180,5,21,24,89,42,10,30,32,433,48,25,26,8,4,1,7,12,10,7,8,25,,,122,27,,6,1,26,26,83,10,,,,,,8,,2,,1,1,
道後,2155,1018,1137,9,56,36,38,46,27,62,58,89,398,31,19,5,7,2,2,18,6,8,8,19,1,,51,24,,15,,17,22,53,1,,1,,,2,3,1,1,,1,,
味生,1840,642,1198,5,5,10,21,87,37,64,23,39,25,409,72,29,44,19,24,38,17,14,29,31,,1,35,7,,12,,10,2,55,14,1,,,,,8,,8,,2,,1
生石,1153,425,728,6,7,7,14,56,22,14,15,20,15,96,209,40,14,6,,22,6,11,6,40,,,14,1,,3,1,,2,51,11,,,,1,,4,7,7,,,,
垣生,605,264,341,1,1,3,6,24,4,10,9,11,3,11,14,158,11,2,1,9,1,4,1,25,,1,6,6,,,,,,16,1,,,,,1,1,,,,,,
宮前,713,261,452,,2,7,5,31,7,25,16,10,3,32,11,3,142,14,27,29,14,8,8,11,,,6,3,,1,,5,3,15,1,,,,,1,2,2,4,,3,,1
三津浜,295,132,163,1,1,,4,5,5,3,,4,3,24,13,1,15,35,9,7,2,6,1,4,,,1,,,,,4,,9,3,1,,,1,,,,,,1,,
高浜,243,63,180,,,,4,11,2,1,7,5,5,9,3,1,24,19,57,1,,5,2,,1,,3,1,,,,,4,5,4,,,,,,4,1,,,,1,
久枝,1535,629,906,4,8,6,19,22,20,62,117,25,21,29,10,9,19,2,9,289,51,49,26,9,2,,26,2,,6,,8,3,21,4,,,2,3,5,5,2,9,,1,1,
潮見,741,208,533,,2,6,9,15,4,10,40,9,11,18,13,7,6,4,9,49,163,38,42,6,1,,6,4,,1,,6,2,29,,,1,,3,2,7,3,5,1,1,,
和気,555,187,368,,2,2,8,18,6,13,17,6,5,11,3,5,9,2,4,53,17,81,34,7,,,2,5,,5,,,3,13,3,,,,7,1,16,,10,,,,
