PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks,Bzone,S_NAME_ref,lon_ref,lat_ref,choice_zone
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,井門町,13000000,250000,,165,77000,ほぼ長方形,9.3,, ,,,,南,私道,4,市街化調整区域,70,200,2008年第1四半期,,,松山市14区,井門町,132.77727,33.797488,12
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,梅田町,9000000,,,95,,ほぼ長方形,5,80,1978年,鉄骨造,住宅,,西,市道,6,第１種住居地域,60,200,2008年第1四半期,,,松山市20区,梅田町,132.713954,33.859552,15
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,小栗,27000000,,,120,,ほぼ台形,10,105,2006年,木造,住宅,,北西,市道,4.6,第１種住居地域,60,200,2008年第1四半期,,私道を含む取引,松山市5区,小栗一丁目,132.763082,33.826985,3
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,小栗,14000000,,,200,,ほぼ長方形,13.5,180,1981年,木造,共同住宅,,南,私道,4,第１種住居地域,60,200,2008年第1四半期,,,松山市5区,小栗六丁目,132.755892,33.826985,3
不動産取引価格情報,宅地(土地),宅地見込地,38201,愛媛県,松山市,鴨川,43000000,240000,,580,74000,ほぼ長方形,11.2,, ,,,,南,市道,5,第１種低層住居専用地域,50,80,2008年第1四半期,,,松山市18区,鴨川二丁目,132.750936,33.873953,16
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,鴨川,50000000,230000,,720,70000,ほぼ長方形,15.5,, ,,,,南,市道,5,第１種低層住居専用地域,50,80,2008年第1四半期,,,松山市18区,鴨川一丁目,132.753331,33.8736,16
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,鴨川,38000000,,,35,,長方形,,145,1998年,木造,住宅,,南,市道,4,第１種低層住居専用地域,50,80,2008年第1四半期,,,松山市18区,鴨川二丁目,132.750936,33.873953,16
不動産取引価格情報,宅地(土地),宅地見込地,38201,愛媛県,松山市,鴨川,84000000,220000,,1200,67000,長方形,20.9,, ,,,,西,市道,4,第１種住居地域,60,200,2008年第1四半期,,,松山市18区,鴨川一丁目,132.753331,33.8736,16
不動産取引価格情報,宅地(土地),宅地見込地,38201,愛媛県,松山市,来住町,50000000,160000,,1000,49000,不整形,28.5,, ,,,,西,農道,,市街化調整区域,50,80,2008年第1四半期,,,松山市11区,来住町,132.800191,33.806067,9
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,来住町,55000000,,,410,,ほぼ長方形,26,370,1992年,鉄骨造,事務所,,南,国道,30,近隣商業地域,80,200,2008年第1四半期,,,松山市11区,来住町,132.804498,33.811512,9
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,来住町,18000000,400000,,150,120000,ほぼ長方形,15.1,, ,,,,東,市道,5,第２種中高層住居専用地域,60,200,2008年第1四半期,,,松山市11区,来住町,132.804498,33.811512,9
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,来住町,3500000,110000,,100,35000,ほぼ長方形,8,, ,,,,接面道路無,,,第２種中高層住居専用地域,60,200,2008年第1四半期,,,松山市11区,来住町,132.804498,33.811512,9
