PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks,Bzone,S_NAME_ref,lon_ref,lat_ref,choice_zone,選択ゾーン,Year
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,梅田町,9000000,,,95,94736.84210526316,ほぼ長方形,5.0,80.0,1978年,鉄骨造,住宅,,西,市道,6.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市20区,梅田町,132.713954,33.859552,15.0,[np.float64(14.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,小栗,27000000,,,120,225000.0,ほぼ台形,10.0,105.0,2006年,木造,住宅,,北西,市道,4.6,第１種住居地域,60.0,200.0,2008年第1四半期,,私道を含む取引,松山市5区,小栗一丁目,132.763082,33.826985,3.0,[np.float64(4.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,小栗,14000000,,,200,70000.0,ほぼ長方形,13.5,180.0,1981年,木造,共同住宅,,南,私道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市5区,小栗六丁目,132.755892,33.826985,3.0,[np.float64(4.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,鴨川,38000000,,,35,1085714.2857142857,長方形,,145.0,1998年,木造,住宅,,南,市道,4.0,第１種低層住居専用地域,50.0,80.0,2008年第1四半期,,,松山市18区,鴨川二丁目,132.750936,33.873953,16.0,"[np.float64(16.0), np.float64(17.0)]",2008
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,来住町,55000000,,,410,134146.34146341463,ほぼ長方形,26.0,370.0,1992年,鉄骨造,事務所,,南,国道,30.0,近隣商業地域,80.0,200.0,2008年第1四半期,,,松山市11区,来住町,132.804498,33.811512,9.0,[np.float64(23.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,来住町,44000000,,,240,183333.33333333334,ほぼ正方形,8.5,120.0,2008年,木造,住宅,,東,道路,4.3,市街化調整区域,70.0,200.0,2008年第1四半期,,,松山市11区,来住町,132.800191,33.806067,9.0,[np.float64(23.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,北斎院町,11000000,,,110,100000.0,長方形,12.0,145.0, ,木造,住宅,,東,市道,5.6,準工業地域,60.0,200.0,2008年第1四半期,,,松山市16区,北斎院町,132.725208,33.838992,14.0,[np.float64(10.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,北斎院町,24000000,,,380,63157.89473684211,ほぼ整形,18.0,160.0,1973年,木造,住宅,,西,私道,4.0,第１種低層住居専用地域,50.0,80.0,2008年第1四半期,,調停・競売等,松山市16区,北斎院町,132.725208,33.838992,14.0,[np.float64(10.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,北斎院町,8500000,,,120,70833.33333333333,不整形,6.0,130.0,1982年,木造,住宅、店舗,,北,市道,6.0,第１種住居地域,60.0,200.0,2008年第1四半期,,調停・競売等,松山市16区,北斎院町,132.725208,33.838992,14.0,[np.float64(10.0)],2008
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,鷹子町,15000000,,３ＬＤＫ,60,250000.0,,,,1996年,ＳＲＣ,住宅,,,,,,,,2008年第1四半期,,,松山市11区,鷹子町,132.813915,33.817865,9.0,[np.float64(23.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,中央,14000000,,,135,103703.70370370371,ほぼ台形,5.5,115.0,2001年,木造,住宅,,東,私道,4.0,準工業地域,60.0,200.0,2008年第1四半期,,,松山市7区,中央一丁目,132.751618,33.854127,5.0,[np.float64(7.0)],2008
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,中央,2000000,,１Ｋ,20,100000.0,,,,1988年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2008年第1四半期,未改装,,松山市18区,中央二丁目,132.746146,33.855611,16.0,[np.float64(7.0)],2008
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,道後今市,13000000,,,90,144444.44444444444,長方形,6.7,195.0,1973年,ＲＣ,共同住宅、店舗,,東,県道,6.8,近隣商業地域,80.0,300.0,2008年第1四半期,,,松山市3区,道後今市,132.777511,33.85044,1.0,[np.float64(9.0)],2008
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,道後樋又,2500000,,１Ｋ,15,166666.66666666666,,,,1985年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2008年第1四半期,改装済み,,松山市3区,道後樋又,132.772264,33.852354,1.0,[np.float64(9.0)],2008
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,道後樋又,2800000,,１Ｋ,15,186666.66666666666,,,,1985年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2008年第1四半期,改装済み,,松山市3区,道後樋又,132.772264,33.852354,1.0,[np.float64(9.0)],2008
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,道後樋又,26000000,,,145,179310.3448275862,長方形,9.0,220.0,1971年,鉄骨造,店舗,,南,県道,9.2,第２種住居地域,60.0,200.0,2008年第1四半期,,,松山市3区,道後樋又,132.772264,33.852354,1.0,[np.float64(9.0)],2008
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,西一万町,30000000,,,100,300000.0,不整形,8.5,280.0,1975年,鉄骨造,,,東,市道,12.0,近隣商業地域,80.0,300.0,2008年第1四半期,,,松山市3区,西一万町,132.772496,33.846224,1.0,[np.float64(1.0)],2008
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,二番町,160000000,,,280,571428.5714285715,ほぼ正方形,16.0,120.0,1993年,鉄骨造,駐車場,,東,市道,15.0,商業地域,80.0,400.0,2008年第1四半期,,,松山市3区,二番町二丁目,132.771314,33.839622,1.0,"[np.float64(0.0), np.float64(1.0)]",2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,平井町,19000000,,,95,200000.0,ほぼ整形,11.8,130.0,2003年,木造,住宅,,東,私道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,調停・競売等,松山市9区,平井町,132.835118,33.823296,7.0,[np.float64(28.0)],2008
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,平井町,58000000,,,50,1160000.0,ほぼ整形,8.1,165.0,2002年,鉄骨造、木造,住宅、事務所,,南西,県道,9.0,第２種住居地域,60.0,200.0,2008年第1四半期,,,松山市9区,平井町,132.835118,33.823296,7.0,[np.float64(28.0)],2008
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,平井町,55000000,,,1100,50000.0,不整形,,130.0,1985年,木造,住宅、事務所,,北東,県道,9.0,第２種住居地域,60.0,200.0,2008年第1四半期,,,松山市9区,平井町,132.835118,33.823296,7.0,[np.float64(28.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,平井町,35000000,,,170,205882.35294117648,ほぼ長方形,12.5,105.0,2008年,木造,住宅,,東,市道,4.0,市街化調整区域,70.0,200.0,2008年第1四半期,,,松山市9区,平井町,132.835118,33.823296,7.0,[np.float64(28.0)],2008
不動産取引価格情報,宅地(土地と建物),商業地,38201,愛媛県,松山市,本町,1400000000,,,1300,1076923.076923077,ほぼ正方形,35.0,9999.0,1991年,ＳＲＣ,駐車場、その他,,東,国道,30.0,商業地域,80.0,400.0,2008年第1四半期,,,松山市2区,本町一丁目,132.758441,33.841652,0.0,"[np.float64(5.0), np.float64(6.0), np.float64(7.0)]",2008
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,本町,2300000,,１Ｋ,20,115000.0,,,,1981年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2008年第1四半期,改装済み,,松山市2区,本町三丁目,132.758695,33.846425,0.0,"[np.float64(5.0), np.float64(6.0), np.float64(7.0)]",2008
