cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18
1030671931#0,1120936393,-1028570786#1,1057198633,174022717,379075314#2,-450523569,-22736445#0,97671348#1,89881814#0,-161966885,968221178,23260765#1,55423023#0,196629668#1,273211156#5,97685638#1,-148642772#1,-54680197
1033723437,1147401994,1028570790#6,-71367237,31133895#1,27085148#5,368086828#3,168663972#4,95282572#5,683457657#2,-503056675,-413095251#2,690601674,-1124642428#2,680497649,198900384#4,-139718208,157058382#1,-54680194#2
25868124#0,171300278#2,170624691#6,47111169#0,209210741#0,682703711#2,-90795029,209210746#1,178899419#1,-89828177,254326654#2,854239336#2,174757575,643059741,296443891#0,40969576,813418915,-43097008#7,173185148#6
265010573#0,23350417#0,-1028570785#1,-44886286#1,991009315,67027572#0,202903720,174022677#5,95396808#2,956159234,89219856#0,-159625689#0,21957625#1,47118452#0,208649512#0,856631371#13,883261846,135838552#8,-58686903#6
265010590#1,24059844,-1028572143#0,-47113636#14,174022680#1,89423681#1,368086828#10,-168683414#1,257357807#1,254327781#3,24024043#0,891285334,263956787#0,47118453#2,1021561144#0,1245764631,4848932#7,136228820#5,-91008672#12
59254368#1,285454834#0,-46875474,728136201#4,44884380#7,33625073#2,243206484#1,-120525537#6,-95274339#1,182236078,254326632#6,-154824596#1,203035366#0,-55423023#1,-59525014,-95274313,459561639#0,-43100782#1,682270676
968221183#8,311912291,-44884987#0,398675574#2,1253807732#1,682699857#0,682261295,22562407#5,335539639#2,-585279933#0,-264459821#1,47905475#11,27085151#7,1056405596#0,-46655820#1,690601665,1181162212,304727835#1,683457664#0
-4848912#4,333682042#0,1028573261#5,271934577#1,44884353#0,92204278#1,33625902#3,392940747#0,-97671375#1,89825903#10,866351232#2,-146744473#0,23260765#0,47118451#1,57478195#0,1055857393#0,44049166#0,30952224#6,238153162#0
1030669188,333682044,-44884665#4,47113630#0,24804076#0,231665609,1244504475#1,315539209#8,97671348#2,90835548#7,280266451#4,134192154#0,993526140,-1093327667#3,-401190982,74314555#1,904911912,196629583#0,34996350#1
25868122,353940886,170624691#7,1058036879#1,-30998616,-263956788#6,273211073#5,50877021#1,46151431#4,395264636#2,34950844#1,-891285338#1,139504332#1,871576397#1,46655809#0,-46151739#2,726941894#0,43322798#8,160733175#0
-4848912#0,44837352,1028572152#3,45663908#0,304727809#3,-263936851#3,95396838#3,95396832#0,178899418#0,-89831417#2,956159245#0,-146744473#3,1105155924,-60647195,680508518#0,538982926#6,172598640#1,135838552#4,1126144529
-177148861#0,721120031#1,170624687,47113642#0,1253807732#0,264070491#2,368086842,392088983#3,273211078#2,34605313#1,33118878,47905475#9,436862683#0,-55889051#1,-46655815#1,622650808,69963032#3,135838553#5,126855578#0
