origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
4,5,43206.569821566096,999999,2,3,1
1,5,43219.99578815405,999999,6,2,1
1,6,43222.45775347315,999999,5,0,1
6,1,43222.45775347315,999999,6,5,1
5,2,43228.65883698218,999999,3,0,1
8,5,43228.65883698218,999999,6,2,1
1,1,43230.61819705938,5,999999,6,1
1,8,43240.94471146854,999999,1,5,1
4,6,43240.94471146854,7,0,999999,1
1,2,43241.106283159155,999999,0,3,1
1,6,43241.106283159155,6,999999,5,1
5,6,43241.106283159155,999999,6,6,1
6,1,43241.106283159155,7,999999,6,1
4,5,43271.24632327174,999999,5,3,1
6,6,43271.24632327174,999999,8,1,1
5,1,43272.37091438689,999999,1,3,1
5,2,43272.37091438689,999999,5,2,1
6,2,43272.37091438689,5,6,999999,1
1,6,43273.70232898347,2,4,5,1
6,5,43277.19704528414,1,999999,8,1
6,5,43277.19704528414,999999,1,4,1
5,1,43281.32420871746,5,999999,5,1
6,7,43288.781102337685,999999,5,6,1
4,5,43294.018626472265,999999,1,6,1
5,2,43294.018626472265,999999,5,3,1
6,7,43294.018626472265,999999,5,6,1
1,8,43294.31320782413,999999,0,3,1
5,4,43299.182533298175,999999,8,2,1
6,2,43301.381347133334,999999,4,1,1
6,6,43301.381347133334,4,999999,5,1
5,5,43305.822187132515,5,999999,1,1
6,8,43305.822187132515,5,999999,5,1
8,0,43308.155423294214,999999,6,1,1
8,6,43308.155423294214,999999,6,1,1
6,2,43310.72696286827,999999,5,8,1
1,4,43315.592451019016,999999,3,5,1
4,8,43320.107463577406,999999,5,0,1
5,5,43320.107463577406,7,3,999999,1
8,2,43320.107463577406,999999,3,0,1
5,1,43323.65050429588,999999,7,4,1
6,5,43323.65050429588,999999,5,0,1
5,6,43326.24061130444,1,1,8,1
6,6,43326.24061130444,999999,6,5,1
8,8,43326.24061130444,2,999999,1,1
1,3,43332.005694659856,999999,6,8,1
5,1,43332.005694659856,2,3,4,1
5,2,43332.005694659856,999999,6,1,1
6,5,43332.44402470776,2,999999,6,1
8,5,43332.44402470776,999999,6,6,1
5,5,43339.55166682919,999999,4,0,1
6,6,43339.55166682919,999999,6,8,1
1,3,43350.0821657834,999999,5,6,1
5,6,43350.0821657834,999999,2,1,1
6,6,43372.747455932236,8,6,3,1
6,1,43375.40437051272,999999,7,6,1
6,7,43375.40437051272,1,999999,2,1
6,5,43376.43127977391,999999,1,2,1
6,5,43376.43127977391,999999,1,8,1
1,0,43387.26876008727,999999,2,6,1
4,7,43387.26876008727,999999,6,5,1
5,5,43387.26876008727,999999,8,4,1
6,8,43387.26876008727,999999,0,5,1
5,8,43393.965418728985,2,999999,1,1
5,5,43403.39240559717,999999,1,3,1
6,5,43414.511002509935,999999,2,6,1
5,6,43414.95147326364,999999,1,2,1
5,0,43416.25711403224,999999,8,7,1
5,4,43419.86703343866,999999,3,1,1
6,0,43419.86703343866,5,3,999999,1
5,4,43425.263481986425,999999,1,6,1
4,2,43426.636272828924,999999,5,4,1
5,5,43426.636272828924,2,999999,4,1
8,6,43426.700524991844,999999,8,6,1
5,4,43430.84066708242,999999,6,1,1
6,6,43436.21284984593,999999,3,0,1
8,6,43436.21284984593,999999,8,1,1
1,6,43438.78416987149,2,999999,5,1
2,6,43438.78416987149,999999,5,5,1
4,2,43438.78416987149,999999,6,1,1
6,0,43439.71125012715,3,5,999999,1
5,0,43442.41425064092,3,5,6,1
5,6,43442.41425064092,2,999999,8,1
5,6,43442.41425064092,999999,5,1,1
1,5,43444.3261323111,5,999999,4,1
5,7,43444.3261323111,999999,8,6,1
4,5,43446.42891475031,999999,1,8,1
6,8,43446.42891475031,1,1,999999,1
6,5,43456.51236660559,999999,5,5,1
8,4,43456.51236660559,2,5,1,1
2,1,43458.01665678584,999999,1,5,1
5,1,43458.01665678584,999999,8,3,1
6,8,43458.01665678584,999999,5,3,1
6,1,43460.02890411956,999999,5,2,1
1,6,43464.476269798666,999999,6,5,1
5,4,43464.476269798666,999999,1,7,1
8,8,43465.131008969765,999999,3,1,1
6,5,43467.462484221214,0,999999,0,1
1,7,43483.290514411834,3,2,999999,1
2,5,43483.290514411834,8,999999,4,1
5,1,43483.290514411834,1,6,999999,1
5,6,43483.290514411834,3,5,999999,1
6,5,43483.290514411834,0,999999,4,1
6,5,43483.290514411834,8,999999,6,1
5,6,43484.52392707553,999999,0,4,1
6,5,43489.07938447038,3,3,999999,1
6,5,43491.71657165006,999999,8,5,1
8,3,43491.71657165006,999999,6,5,1
6,4,43505.16444761509,999999,5,6,1
6,6,43505.16444761509,999999,1,6,1
6,6,43505.16444761509,999999,2,5,1
8,4,43516.93761611001,999999,8,8,1
8,6,43516.93761611001,999999,1,1,1
5,0,43522.17125351559,999999,1,5,1
5,6,43522.17125351559,999999,8,6,1
6,0,43525.49146875916,1,999999,2,1
6,5,43530.43048227989,999999,8,7,1
1,3,43533.11947341571,999999,6,0,1
5,4,43533.11947341571,2,999999,4,1
1,2,43533.90800999231,3,0,1,1
2,6,43533.90800999231,999999,1,0,1
4,1,43533.90800999231,8,999999,5,1
1,5,43542.9692012593,999999,5,0,1
6,1,43542.9692012593,6,999999,5,1
6,1,43545.53523902522,999999,2,0,1
6,5,43545.53523902522,5,3,4,1
5,1,43554.9591731864,999999,8,5,1
6,2,43554.9591731864,999999,5,3,1
6,4,43554.9591731864,8,6,3,1
4,0,43568.55987948015,999999,5,4,1
6,2,43568.55987948015,999999,6,5,1
8,6,43568.55987948015,999999,2,4,1
1,5,43572.44023789598,999999,6,6,1
5,8,43572.44023789598,1,6,999999,1
1,6,43577.662718828295,999999,3,5,1
6,5,43579.34108073389,999999,4,6,1
1,0,43582.322604046596,999999,8,3,1
5,6,43582.322604046596,999999,6,2,1
1,0,43587.8619994193,999999,1,3,1
5,0,43600.40958843847,999999,1,6,1
5,6,43600.40958843847,999999,8,4,1
5,2,43601.13403608793,5,999999,8,1
5,5,43601.13403608793,999999,2,4,1
6,0,43601.13403608793,999999,2,8,1
5,6,43612.142265210845,2,999999,5,1
1,6,43624.36895812826,5,6,999999,1
5,0,43624.36895812826,8,999999,3,1
6,8,43624.36895812826,999999,6,1,1
5,5,43630.56794650394,6,999999,1,1
6,8,43630.56794650394,999999,0,2,1
4,0,43635.24485535482,6,999999,6,1
5,7,43637.13552330473,999999,1,5,1
6,3,43637.13552330473,999999,2,4,1
4,1,43645.89584590693,999999,8,6,1
6,6,43650.57207236968,999999,2,0,1
1,0,43652.11973423579,999999,6,5,1
5,5,43653.14281517768,6,999999,6,1
8,8,43653.14281517768,999999,6,5,1
6,5,43673.00503541207,999999,3,1,1
5,6,43675.957330707286,999999,1,0,1
4,8,43698.63553332293,999999,6,3,1
6,5,43698.63553332293,6,999999,4,1
4,2,43705.12998166679,999999,5,5,1
5,3,43714.89372239065,999999,0,6,1
5,6,43716.64005377954,999999,5,1,1
6,0,43717.00956918989,999999,2,6,1
1,6,43727.53422082314,999999,4,7,1
1,7,43727.53422082314,3,5,999999,1
6,2,43727.53422082314,999999,1,4,1
1,5,43732.09003071754,999999,5,6,1
5,1,43738.66300243176,8,2,999999,1
5,8,43738.66300243176,999999,6,4,1
5,3,43742.41173882643,999999,1,5,1
8,6,43742.41173882643,999999,4,7,1
1,2,43759.79290317232,8,999999,6,1
5,2,43759.79290317232,999999,2,5,1
5,6,43759.79290317232,999999,6,1,1
4,4,43763.11663099616,6,999999,8,1
1,3,43777.5409158464,999999,5,2,1
1,4,43777.5409158464,999999,0,3,1
6,4,43777.5409158464,999999,6,6,1
5,6,43787.3281038129,999999,5,1,1
6,5,43790.04650708564,999999,1,4,1
2,2,43790.6890072046,999999,0,5,1
6,2,43791.27411520948,999999,6,6,1
4,8,43800.11749984756,999999,5,5,1
6,6,43804.14800107901,999999,0,1,1
5,8,43805.84508562097,3,5,999999,1
1,7,43809.64956705681,999999,5,6,1
4,5,43809.64956705681,4,2,999999,1
8,2,43809.64956705681,999999,4,3,1
5,3,43812.94025038444,999999,5,8,1
6,2,43812.94025038444,999999,1,6,1
1,6,43817.07511835887,999999,0,0,1
2,7,43817.07511835887,999999,6,5,1
1,5,43817.824163617406,999999,4,5,1
2,6,43821.20346889796,999999,8,3,1
6,2,43821.20346889796,999999,5,1,1
6,1,43822.89504520151,999999,4,6,1
6,2,43830.653778419684,4,999999,0,1
5,8,43836.83469291373,0,5,6,1
8,2,43836.83469291373,999999,1,3,1
6,6,43857.865584864754,5,2,999999,1
1,0,43860.68893195615,5,999999,5,1
6,2,43860.68893195615,999999,0,6,1
4,5,43871.79717647382,999999,5,6,1
5,4,43871.79717647382,999999,3,8,1
5,6,43871.79717647382,6,999999,5,1
4,4,43884.94075037426,0,999999,2,1
8,3,43884.94075037426,999999,4,7,1
6,3,43886.673662263864,6,999999,1,1
6,8,43886.673662263864,6,999999,7,1
5,1,43893.73916732413,6,999999,5,1
5,2,43893.73916732413,999999,3,4,1
6,6,43896.67782763484,999999,6,1,1
5,6,43897.05262644406,999999,999999,8,1
6,2,43897.05262644406,999999,6,2,1
6,6,43897.05262644406,999999,0,5,1
5,5,43907.32700184361,6,999999,1,1
6,4,43907.32700184361,999999,6,8,1
5,0,43920.003707347954,999999,3,8,1
5,1,43920.003707347954,999999,3,6,1
6,7,43923.3945943076,999999,2,6,1
6,8,43923.3945943076,999999,6,3,1
8,7,43929.70697791839,999999,8,8,1
8,5,43936.04583206593,5,4,999999,1
6,4,43938.86288115589,5,2,999999,1
6,5,43938.86288115589,999999,8,2,1
4,7,43939.40833894604,999999,8,2,1
6,3,43940.62278083249,999999,0,0,1
6,5,43940.62278083249,999999,4,999999,1
4,0,43942.26383289962,999999,6,2,1
1,6,43948.19451142574,999999,1,6,1
5,2,43955.3916738752,999999,0,6,1
6,3,43955.3916738752,999999,5,8,1
6,5,43955.3916738752,999999,6,6,1
6,6,43955.3916738752,999999,6,2,1
6,4,43960.499355705695,999999,0,8,1
6,5,43960.499355705695,999999,2,6,1
1,3,43962.75374310098,999999,1,1,1
5,4,43962.75374310098,999999,1,5,1
6,1,43963.397605158476,999999,0,5,1
1,3,43973.01812111739,999999,0,0,1
4,5,43973.01812111739,999999,2,5,1
1,8,43978.3366564933,6,2,6,1
4,7,43985.94806605761,999999,5,4,1
6,1,43985.94806605761,999999,5,4,1
1,3,43989.864990322494,999999,5,1,1
5,2,43989.864990322494,999999,0,3,1
6,8,43993.55023456903,6,999999,2,1
6,3,43993.61489225976,999999,2,0,1
6,5,43993.61489225976,999999,6,2,1
2,7,43994.21720337865,999999,1,5,1
6,7,43994.21720337865,999999,1,8,1
5,1,43995.628965139476,999999,3,6,1
1,0,44014.53042021733,2,2,8,1
1,7,44019.48615864481,999999,1,2,1
8,1,44019.48615864481,999999,5,2,1
8,5,44019.48615864481,999999,5,5,1
5,3,44024.12974964749,999999,4,8,1
5,5,44024.12974964749,999999,5,1,1
6,6,44024.12974964749,999999,1,0,1
4,2,44028.50816640907,999999,5,4,1
5,5,44028.50816640907,999999,6,5,1
8,2,44028.50816640907,999999,5,1,1
6,6,44032.55748405181,999999,2,0,1
5,3,44044.61772267414,999999,6,5,1
1,2,44057.25385106205,999999,0,5,1
6,2,44057.25385106205,8,999999,0,1
6,4,44057.25385106205,999999,6,3,1
1,8,44062.464747632206,999999,3,5,1
6,1,44062.464747632206,999999,5,6,1
5,3,44065.16960304693,1,6,999999,1
6,5,44065.16960304693,999999,6,1,1
8,4,44067.46411554121,5,8,999999,1
5,8,44072.23423155012,2,999999,5,1
8,4,44072.23423155012,999999,7,3,1
4,6,44079.96028179723,999999,0,5,1
8,1,44079.96028179723,999999,8,6,1
4,6,44081.88189290054,999999,3,5,1
5,0,44087.58946309516,8,1,999999,1
6,5,44087.58946309516,999999,6,5,1
5,8,44092.85677439021,999999,5,6,1
8,6,44106.4448688336,999999,5,1,1
4,6,44112.65436046591,999999,5,5,1
8,4,44112.65436046591,999999,6,3,1
5,6,44113.20774305479,999999,6,4,1
5,0,44114.295994260494,999999,8,1,1
6,2,44114.295994260494,999999,4,6,1
5,8,44117.85342074149,999999,6,2,1
6,2,44117.85342074149,999999,6,3,1
7,6,44117.85342074149,999999,4,6,1
2,6,44122.29004473744,999999,5,1,1
4,4,44122.29004473744,999999,0,8,1
5,4,44126.63723919762,999999,6,6,1
2,2,44138.713281094126,999999,0,5,1
6,2,44141.11919500761,999999,5,0,1
5,2,44144.13863057077,999999,5,1,1
4,8,44150.62130834857,5,999999,4,1
5,6,44153.428417587995,999999,5,1,1
4,4,44153.98508389792,8,999999,3,1
5,8,44153.98508389792,5,999999,5,1
6,4,44155.41273742034,7,999999,8,1
2,0,44163.27065290547,999999,6,8,1
8,2,44163.27065290547,999999,5,0,1
6,2,44163.7139204841,999999,1,5,1
6,3,44163.7139204841,999999,0,1,1
4,1,44167.460037058096,999999,0,5,1
5,4,44167.460037058096,999999,1,4,1
6,5,44167.460037058096,999999,3,8,1
8,8,44169.14246128129,0,999999,3,1
5,7,44169.37353347668,999999,3,8,1
4,6,44171.824528148005,999999,3,5,1
5,4,44171.824528148005,999999,0,3,1
6,4,44171.824528148005,6,999999,2,1
1,8,44173.67297403995,999999,5,4,1
2,5,44182.73057868691,999999,6,4,1
6,1,44182.73057868691,999999,6,5,1
4,8,44195.13757626032,999999,5,0,1
5,6,44198.045110056686,999999,5,8,1
1,2,44201.255659505165,999999,2,6,1
5,3,44201.255659505165,999999,5,2,1
6,6,44201.255659505165,999999,2,3,1
1,7,44218.19395809401,4,999999,2,1
8,6,44227.27097989564,999999,8,2,1
4,8,44237.04281624603,999999,5,0,1
5,1,44237.04281624603,999999,6,8,1
6,0,44246.48569541506,999999,6,2,1
5,2,44275.264333909465,999999,6,0,1
6,1,44275.264333909465,999999,5,0,1
