origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
5,5,43200.4081847926,4,999999,2,1
5,5,43200.4081847926,6,999999,4,1
6,6,43200.4081847926,999999,0,1,1
1,6,43206.812793082914,5,999999,4,1
5,3,43206.812793082914,999999,1,4,1
5,6,43206.812793082914,5,6,5,1
5,0,43207.98636900013,6,6,999999,1
5,6,43214.546722647785,999999,3,5,1
6,2,43214.546722647785,5,999999,6,1
5,6,43215.11819427773,999999,3,1,1
6,8,43215.11819427773,0,999999,5,1
1,1,43216.32273564781,5,999999,999999,1
6,5,43218.67093088207,5,5,999999,1
1,5,43218.926268034054,6,999999,1,1
5,8,43218.926268034054,999999,0,5,1
6,2,43218.926268034054,999999,2,3,1
5,5,43233.36506619948,1,999999,5,1
6,0,43233.36506619948,999999,8,5,1
5,4,43234.576543090996,999999,1,5,1
6,6,43234.576543090996,6,999999,8,1
5,3,43243.14075921032,999999,1,5,1
6,2,43243.14075921032,6,999999,3,1
6,0,43245.98490918769,999999,1,5,1
6,2,43248.34812210898,999999,1,0,1
1,2,43249.553988363325,5,8,999999,1
2,2,43249.553988363325,999999,6,0,1
8,5,43249.553988363325,5,999999,5,1
1,1,43253.67274193326,999999,2,8,1
6,5,43253.67274193326,5,999999,3,1
1,5,43255.50251145576,999999,1,2,1
5,1,43255.50251145576,999999,8,2,1
6,0,43255.50251145576,5,999999,3,1
6,2,43255.50251145576,6,0,6,1
8,4,43255.50251145576,8,999999,6,1
5,5,43256.94502477224,999999,3,8,1
5,2,43261.11113167772,999999,0,7,1
6,8,43261.11113167772,999999,0,3,1
1,5,43261.29946187237,0,1,999999,1
4,8,43261.29946187237,999999,1,4,1
6,3,43261.29946187237,999999,8,8,1
2,6,43262.9584270378,999999,5,7,1
6,5,43262.9584270378,8,1,999999,1
5,4,43266.421162074184,999999,6,5,1
8,6,43266.421162074184,8,999999,3,1
5,4,43267.89123691125,5,8,999999,1
1,8,43267.95395983199,2,999999,1,1
8,4,43267.95395983199,8,5,999999,1
8,8,43267.95395983199,6,2,999999,1
5,6,43273.17775941657,6,999999,2,1
5,2,43273.533677592204,999999,2,3,1
6,8,43273.533677592204,6,999999,5,1
5,5,43274.496795023755,999999,6,8,1
4,3,43278.10783750893,0,999999,3,1
5,8,43293.294130101334,999999,6,5,1
8,5,43293.294130101334,4,999999,1,1
2,1,43293.79062608672,999999,6,3,1
5,2,43293.79062608672,999999,8,8,1
5,5,43293.79062608672,999999,0,3,1
6,0,43293.79062608672,999999,3,1,1
6,8,43306.898258039546,999999,4,5,1
6,6,43312.307954537086,4,999999,6,1
4,8,43317.057824589334,2,999999,1,1
6,2,43317.057824589334,999999,2,0,1
6,2,43317.057824589334,999999,8,5,1
1,5,43318.80204609612,999999,6,0,1
4,3,43318.80204609612,999999,6,8,1
5,1,43319.77993690876,6,999999,7,1
5,6,43319.77993690876,999999,6,0,1
6,5,43324.74611865205,0,6,999999,1
5,6,43329.13018819444,999999,2,4,1
8,4,43329.13018819444,5,8,6,1
1,5,43345.877407270535,6,0,999999,1
4,1,43345.877407270535,5,999999,0,1
5,1,43345.877407270535,8,999999,0,1
6,3,43351.89985102475,6,999999,1,1
6,3,43351.89985102475,999999,6,1,1
8,7,43351.89985102475,999999,8,6,1
6,5,43353.561991707,6,5,0,1
6,6,43353.561991707,999999,8,4,1
1,5,43357.85870296875,2,999999,6,1
1,5,43357.85870296875,999999,5,5,1
6,4,43357.85870296875,6,999999,0,1
5,2,43361.25022804392,999999,8,1,1
6,4,43361.25022804392,999999,5,1,1
8,5,43363.29023842272,999999,6,3,1
8,8,43363.29023842272,999999,4,5,1
1,3,43363.33740411711,999999,2,8,1
5,5,43364.18347652419,999999,3,2,1
5,3,43370.762865505785,5,999999,0,1
2,1,43376.067414051686,999999,3,5,1
6,5,43376.067414051686,1,999999,3,1
8,1,43376.067414051686,5,999999,999999,1
4,7,43383.738374482564,6,5,999999,1
5,3,43383.738374482564,999999,0,4,1
5,3,43383.983080539896,999999,2,5,1
6,6,43386.107411919314,999999,5,1,1
6,8,43386.107411919314,999999,1,3,1
6,8,43398.68441353791,999999,4,1,1
5,2,43399.02964383058,999999,1,4,1
5,6,43399.02964383058,4,5,1,1
8,3,43399.02964383058,999999,0,6,1
5,3,43408.665088853435,8,999999,6,1
5,3,43414.0156871105,999999,8,6,1
8,5,43414.0156871105,6,999999,7,1
4,2,43415.32113046114,6,999999,6,1
4,1,43421.57175585749,999999,3,0,1
5,0,43421.57175585749,999999,5,7,1
6,3,43422.479841903485,6,999999,1,1
4,1,43429.15386501172,999999,5,999999,1
6,3,43429.15386501172,3,999999,5,1
6,4,43431.28169545609,999999,6,6,1
6,7,43431.28169545609,999999,8,2,1
4,5,43435.67274681611,999999,6,7,1
6,2,43435.67274681611,999999,5,6,1
6,3,43435.67274681611,999999,6,2,1
1,5,43436.45921037447,999999,0,8,1
8,8,43436.45921037447,999999,5,3,1
8,6,43444.29216851324,999999,0,2,1
2,5,43444.75283753738,3,6,999999,1
8,8,43444.75283753738,999999,6,5,1
5,3,43446.431954264044,999999,999999,6,1
5,6,43456.224759450335,6,999999,3,1
8,6,43456.224759450335,999999,0,3,1
6,5,43462.30165042385,6,999999,0,1
5,1,43462.698431939,2,999999,1,1
