Hamming Distance,Algorithm,Time (s),Memory (GB),memo
1,ReconfigZDD,0.0850138664245605,0.3056068420410156,
1,ReconfigZDD,0.1069533824920654,0.3047561645507812,
1,ReconfigZDD,0.0857319831848144,0.304962158203125,
1,ReconfigZDD,0.1051714420318603,0.3048362731933594,
1,ReconfigZDD,0.1023573875427246,0.3035125732421875,
1,ReconfigZDD,0.1022353172302246,0.3028984069824219,
1,ReconfigZDD,0.1061480045318603,0.3037681579589844,
1,ReconfigZDD,0.1079194545745849,0.3046226501464844,
1,ReconfigZDD,0.0799689292907714,0.3058891296386719,
1,ReconfigZDD,0.0970358848571777,0.3046340942382812,
2,ReconfigZDD,0.0995821952819824,0.3045845031738281,
2,ReconfigZDD,0.1010243892669677,0.3022232055664062,
2,ReconfigZDD,0.1062560081481933,0.3038406372070312,
2,ReconfigZDD,0.0973989963531494,0.3053855895996094,
2,ReconfigZDD,0.0955836772918701,0.3067817687988281,
2,ReconfigZDD,0.1109583377838134,0.3038978576660156,
2,ReconfigZDD,0.092203140258789,0.3056716918945312,
2,ReconfigZDD,0.1031501293182373,0.306182861328125,
2,ReconfigZDD,0.0796678066253662,0.3050117492675781,
2,ReconfigZDD,0.1111946105957031,0.304962158203125,
3,ReconfigZDD,0.1142959594726562,0.3053550720214844,
3,ReconfigZDD,0.108635663986206,0.3050575256347656,
3,ReconfigZDD,0.1057109832763671,0.30633544921875,
3,ReconfigZDD,0.0845651626586914,0.305938720703125,
3,ReconfigZDD,0.1102690696716308,0.3043098449707031,
3,ReconfigZDD,0.0953612327575683,0.3042869567871094,
3,ReconfigZDD,0.0769984722137451,0.30352783203125,
3,ReconfigZDD,0.0908825397491455,0.3057594299316406,
3,ReconfigZDD,0.0987617969512939,0.3052864074707031,
3,ReconfigZDD,0.0811336040496826,0.3057060241699219,
4,ReconfigZDD,0.1029155254364013,0.3039665222167969,
4,ReconfigZDD,0.0907723903656005,0.303680419921875,
4,ReconfigZDD,0.1025376319885253,0.3036689758300781,
4,ReconfigZDD,0.1033234596252441,0.3047523498535156,
4,ReconfigZDD,0.0900311470031738,0.3043327331542969,
4,ReconfigZDD,0.103257417678833,0.3041801452636719,
4,ReconfigZDD,0.0831434726715087,0.304718017578125,
4,ReconfigZDD,0.0989603996276855,0.3053054809570312,
4,ReconfigZDD,0.1025581359863281,0.3049850463867187,
4,ReconfigZDD,0.0873322486877441,0.3048286437988281,
5,ReconfigZDD,0.1126611232757568,0.3043632507324219,
5,ReconfigZDD,0.0968744754791259,0.3064804077148437,
5,ReconfigZDD,0.1245853900909423,0.3050537109375,
5,ReconfigZDD,0.113563060760498,0.3035697937011719,
5,ReconfigZDD,0.10915207862854,0.3066329956054687,
5,ReconfigZDD,0.0986392498016357,0.3067092895507812,
5,ReconfigZDD,0.0961639881134033,0.3046913146972656,
5,ReconfigZDD,0.0911982059478759,0.3051834106445312,
5,ReconfigZDD,0.0856359004974365,0.3049545288085937,
5,ReconfigZDD,0.1206884384155273,0.3073959350585937,
6,ReconfigZDD,0.0981233119964599,0.3043479919433594,
6,ReconfigZDD,0.1023848056793212,0.3055152893066406,
6,ReconfigZDD,0.0901625156402587,0.3057975769042969,
6,ReconfigZDD,0.1216120719909668,0.3055992126464844,
6,ReconfigZDD,0.1074903011322021,0.3069953918457031,
6,ReconfigZDD,0.1150233745574951,0.3060493469238281,
6,ReconfigZDD,0.0987715721130371,0.3062744140625,
6,ReconfigZDD,0.1167571544647216,0.3062820434570312,
6,ReconfigZDD,0.087548017501831,0.3070869445800781,
6,ReconfigZDD,0.0859301090240478,0.3072586059570312,
7,ReconfigZDD,0.1173670291900634,0.3044624328613281,
7,ReconfigZDD,0.1055948734283447,0.3058204650878906,
7,ReconfigZDD,0.1230933666229248,0.3053817749023437,
7,ReconfigZDD,0.1091053485870361,0.3048629760742187,
7,ReconfigZDD,0.0918638706207275,0.3074073791503906,
7,ReconfigZDD,0.0908770561218261,0.3064956665039062,
7,ReconfigZDD,0.0953986644744873,0.3065452575683594,
7,ReconfigZDD,0.0904438495635986,0.3063888549804687,
7,ReconfigZDD,0.0902125835418701,0.3072090148925781,
7,ReconfigZDD,0.0965614318847656,0.3048057556152344,
8,ReconfigZDD,0.1040914058685302,0.3063125610351562,
8,ReconfigZDD,0.12548828125,0.3054389953613281,
8,ReconfigZDD,0.1164939403533935,0.3066902160644531,
8,ReconfigZDD,0.1358871459960937,0.3051567077636719,
8,ReconfigZDD,0.1104853153228759,0.3047714233398437,
8,ReconfigZDD,0.0999636650085449,0.306488037109375,
8,ReconfigZDD,0.1198699474334716,0.3062591552734375,
8,ReconfigZDD,0.1075019836425781,0.3058586120605469,
8,ReconfigZDD,0.09214448928833,0.3058815002441406,
8,ReconfigZDD,0.0937592983245849,0.3069496154785156,
9,ReconfigZDD,0.1085169315338134,0.3054962158203125,
9,ReconfigZDD,0.1147820949554443,0.3084259033203125,
