Hamming Distance,Algorithm,Time (s),Memory (GB),memo
1,ReconfigZDD,0.08501386642456055,0.3056068420410156,
1,ReconfigZDD,0.10695338249206543,0.30475616455078125,
1,ReconfigZDD,0.08573198318481445,0.304962158203125,
1,ReconfigZDD,0.10517144203186035,0.3048362731933594,
1,ReconfigZDD,0.10235738754272461,0.3035125732421875,
1,ReconfigZDD,0.10223531723022461,0.3028984069824219,
1,ReconfigZDD,0.10614800453186035,0.3037681579589844,
1,ReconfigZDD,0.10791945457458496,0.3046226501464844,
1,ReconfigZDD,0.07996892929077148,0.3058891296386719,
1,ReconfigZDD,0.09703588485717773,0.30463409423828125,
2,ReconfigZDD,0.09958219528198242,0.3045845031738281,
2,ReconfigZDD,0.10102438926696777,0.30222320556640625,
2,ReconfigZDD,0.10625600814819336,0.30384063720703125,
2,ReconfigZDD,0.09739899635314941,0.3053855895996094,
2,ReconfigZDD,0.09558367729187012,0.3067817687988281,
2,ReconfigZDD,0.11095833778381348,0.3038978576660156,
2,ReconfigZDD,0.09220314025878906,0.30567169189453125,
2,ReconfigZDD,0.1031501293182373,0.306182861328125,
2,ReconfigZDD,0.07966780662536621,0.3050117492675781,
2,ReconfigZDD,0.11119461059570312,0.304962158203125,
3,ReconfigZDD,0.11429595947265625,0.3053550720214844,
3,ReconfigZDD,0.10863566398620605,0.3050575256347656,
3,ReconfigZDD,0.10571098327636719,0.30633544921875,
3,ReconfigZDD,0.0845651626586914,0.305938720703125,
3,ReconfigZDD,0.11026906967163086,0.3043098449707031,
3,ReconfigZDD,0.09536123275756836,0.3042869567871094,
3,ReconfigZDD,0.07699847221374512,0.30352783203125,
3,ReconfigZDD,0.09088253974914551,0.3057594299316406,
3,ReconfigZDD,0.09876179695129395,0.3052864074707031,
3,ReconfigZDD,0.08113360404968262,0.3057060241699219,
4,ReconfigZDD,0.10291552543640137,0.3039665222167969,
4,ReconfigZDD,0.09077239036560059,0.303680419921875,
4,ReconfigZDD,0.10253763198852539,0.3036689758300781,
4,ReconfigZDD,0.10332345962524414,0.3047523498535156,
4,ReconfigZDD,0.09003114700317383,0.3043327331542969,
4,ReconfigZDD,0.10325741767883301,0.3041801452636719,
4,ReconfigZDD,0.08314347267150879,0.304718017578125,
4,ReconfigZDD,0.09896039962768555,0.30530548095703125,
4,ReconfigZDD,0.10255813598632812,0.30498504638671875,
4,ReconfigZDD,0.08733224868774414,0.3048286437988281,
5,ReconfigZDD,0.11266112327575684,0.3043632507324219,
5,ReconfigZDD,0.09687447547912598,0.30648040771484375,
5,ReconfigZDD,0.12458539009094238,0.3050537109375,
5,ReconfigZDD,0.11356306076049805,0.3035697937011719,
5,ReconfigZDD,0.10915207862854004,0.30663299560546875,
5,ReconfigZDD,0.09863924980163574,0.30670928955078125,
5,ReconfigZDD,0.09616398811340332,0.3046913146972656,
5,ReconfigZDD,0.09119820594787598,0.30518341064453125,
5,ReconfigZDD,0.08563590049743652,0.30495452880859375,
5,ReconfigZDD,0.12068843841552734,0.30739593505859375,
6,ReconfigZDD,0.09812331199645996,0.3043479919433594,
6,ReconfigZDD,0.10238480567932129,0.3055152893066406,
6,ReconfigZDD,0.09016251564025879,0.3057975769042969,
6,ReconfigZDD,0.1216120719909668,0.3055992126464844,
6,ReconfigZDD,0.10749030113220215,0.3069953918457031,
6,ReconfigZDD,0.11502337455749512,0.3060493469238281,
6,ReconfigZDD,0.09877157211303711,0.3062744140625,
6,ReconfigZDD,0.11675715446472168,0.30628204345703125,
6,ReconfigZDD,0.08754801750183105,0.3070869445800781,
6,ReconfigZDD,0.08593010902404785,0.30725860595703125,
7,ReconfigZDD,0.11736702919006348,0.3044624328613281,
7,ReconfigZDD,0.10559487342834473,0.3058204650878906,
7,ReconfigZDD,0.1230933666229248,0.30538177490234375,
7,ReconfigZDD,0.10910534858703613,0.30486297607421875,
7,ReconfigZDD,0.09186387062072754,0.3074073791503906,
7,ReconfigZDD,0.09087705612182617,0.30649566650390625,
7,ReconfigZDD,0.0953986644744873,0.3065452575683594,
7,ReconfigZDD,0.09044384956359863,0.30638885498046875,
7,ReconfigZDD,0.09021258354187012,0.3072090148925781,
7,ReconfigZDD,0.09656143188476562,0.3048057556152344,
8,ReconfigZDD,0.10409140586853027,0.30631256103515625,
8,ReconfigZDD,0.12548828125,0.3054389953613281,
8,ReconfigZDD,0.11649394035339355,0.3066902160644531,
8,ReconfigZDD,0.13588714599609375,0.3051567077636719,
8,ReconfigZDD,0.11048531532287598,0.30477142333984375,
8,ReconfigZDD,0.09996366500854492,0.306488037109375,
8,ReconfigZDD,0.11986994743347168,0.3062591552734375,
8,ReconfigZDD,0.10750198364257812,0.3058586120605469,
8,ReconfigZDD,0.09214448928833008,0.3058815002441406,
8,ReconfigZDD,0.09375929832458496,0.3069496154785156,
9,ReconfigZDD,0.10851693153381348,0.3054962158203125,
9,ReconfigZDD,0.11478209495544434,0.3084259033203125,
9,ReconfigZDD,0.11328268051147461,0.3071022033691406,
9,ReconfigZDD,0.12968850135803223,0.30690765380859375,
9,ReconfigZDD,0.12480568885803223,0.30637359619140625,
9,ReconfigZDD,0.12837982177734375,0.306610107421875,
9,ReconfigZDD,0.1058187484741211,0.3066749572753906,
9,ReconfigZDD,0.11376833915710449,0.30626678466796875,
9,ReconfigZDD,0.09586191177368164,0.30615234375,
9,ReconfigZDD,0.11727571487426758,0.3071937561035156,
10,ReconfigZDD,0.12913203239440918,0.3070793151855469,
10,ReconfigZDD,0.12956976890563965,0.30722808837890625,
10,ReconfigZDD,0.14041781425476074,0.30623626708984375,
10,ReconfigZDD,0.13001132011413574,0.30783843994140625,
10,ReconfigZDD,0.12204933166503906,0.30735015869140625,
10,ReconfigZDD,0.10909032821655273,0.30683135986328125,
10,ReconfigZDD,0.11733007431030273,0.30489349365234375,
10,ReconfigZDD,0.1130838394165039,0.3067741394042969,
10,ReconfigZDD,0.12889623641967773,0.3092193603515625,
10,ReconfigZDD,0.10946941375732422,0.3078651428222656,
11,ReconfigZDD,0.13681435585021973,0.3070220947265625,
11,ReconfigZDD,0.11487150192260742,0.3090095520019531,
11,ReconfigZDD,0.13428688049316406,0.3089485168457031,
11,ReconfigZDD,0.12994146347045898,0.3099555969238281,
11,ReconfigZDD,0.15007781982421875,0.3098335266113281,
