Hamming Distance,Algorithm,Time (s),Memory (GB),memo
1,ReconfigBFS,0.04747796058654785,0.2562828063964844,
1,ReconfigBFS,0.05178689956665039,0.2565956115722656,
1,ReconfigBFS,0.04693460464477539,0.2561378479003906,
1,ReconfigBFS,0.0524899959564209,0.2554969787597656,
1,ReconfigBFS,0.049952030181884766,,
1,ReconfigBFS,0.04593682289123535,,
1,ReconfigBFS,0.04621243476867676,,
1,ReconfigBFS,0.04762673377990723,,
1,ReconfigBFS,0.0466768741607666,,
1,ReconfigBFS,0.042542457580566406,,
2,ReconfigBFS,0.253159761428833,0.2590141296386719,
2,ReconfigBFS,0.10117387771606445,0.2568702697753906,
2,ReconfigBFS,0.1328580379486084,0.2569732666015625,
2,ReconfigBFS,0.14260149002075195,0.2572593688964844,
2,ReconfigBFS,0.18185687065124512,0.2580718994140625,
2,ReconfigBFS,0.1784803867340088,0.2577934265136719,
2,ReconfigBFS,0.13811826705932617,0.258392333984375,
2,ReconfigBFS,0.06961655616760254,0.2569122314453125,
2,ReconfigBFS,0.174638032913208,0.2584571838378906,
2,ReconfigBFS,0.20384812355041504,0.2581024169921875,
3,ReconfigBFS,1.637383222579956,0.26976776123046875,
3,ReconfigBFS,2.555875778198242,0.2756385803222656,
3,ReconfigBFS,2.2644667625427246,0.272918701171875,
3,ReconfigBFS,0.9833667278289795,0.2654571533203125,
3,ReconfigBFS,0.4014925956726074,0.2602119445800781,
3,ReconfigBFS,1.0215225219726562,0.2665977478027344,
3,ReconfigBFS,2.194685220718384,0.2704963684082031,
3,ReconfigBFS,2.0763041973114014,0.2709999084472656,
3,ReconfigBFS,0.600285530090332,0.2630462646484375,
3,ReconfigBFS,0.949371337890625,0.26665496826171875,
4,ReconfigBFS,16.35114049911499,0.3384132385253906,
4,ReconfigBFS,9.774153470993042,0.30759429931640625,
4,ReconfigBFS,9.745203495025635,0.3091163635253906,
4,ReconfigBFS,14.413684368133545,0.32363128662109375,
4,ReconfigBFS,11.180051565170288,0.30864715576171875,
4,ReconfigBFS,4.6277241706848145,0.28104400634765625,
4,ReconfigBFS,19.259928941726685,0.35514068603515625,
4,ReconfigBFS,12.329648971557617,0.32183074951171875,
4,ReconfigBFS,14.663377285003662,0.3268623352050781,
4,ReconfigBFS,9.01348614692688,0.3059806823730469,
5,ReconfigBFS,81.4943516254425,0.5760993957519531,
5,ReconfigBFS,125.99592018127441,0.7143669128417969,
5,ReconfigBFS,54.97508716583252,0.467193603515625,
5,ReconfigBFS,177.33262038230896,0.917510986328125,
5,ReconfigBFS,92.66781759262085,0.6120834350585938,
5,ReconfigBFS,23.091383457183838,0.35106658935546875,
5,ReconfigBFS,113.56873941421509,0.70513916015625,
5,ReconfigBFS,134.6023669242859,0.7432899475097656,
5,ReconfigBFS,105.36575722694397,0.6547164916992188,
5,ReconfigBFS,78.05631971359253,0.5447616577148438,
6,ReconfigBFS,664.7107222080231,2.5153541564941406,
6,ReconfigBFS,384.22787618637085,1.5572776794433594,
6,ReconfigBFS,339.3677616119385,1.4390602111816406,
6,ReconfigBFS,231.4804072380066,1.048828125,
6,ReconfigBFS,156.92877197265625,0.7941513061523438,
6,ReconfigBFS,143.57318139076233,0.7703437805175781,
6,ReconfigBFS,204.0696246623993,0.954833984375,
6,ReconfigBFS,165.30461382865906,0.8916587829589844,
6,ReconfigBFS,251.45991921424866,1.0871620178222656,
6,ReconfigBFS,459.2167270183563,1.8404808044433594,
7,ReconfigBFS,1664.0937066078186,4.7021636962890625,
