転出ゾーン,移動総数,市外,市内総数,番町,東雲,八坂,素鵞,雄郡,新玉,味酒,清水,桑原,道後,味生,生石,垣生,宮前,三津浜,高浜,久枝,潮見,和気,堀江,余土,由良,泊,久米,湯山,日浦,伊台,五明,小野,浮穴,石井,荏原,坂本,浅海,立岩,難波,正岡,北条,河野,粟井,睦野,東中島,西中島,神和
番町,388,139,249,76,17,15,13,22,2,14,6,12,21,6,1,,3,,,2,1,1,1,4,,,5,2,,2,,,1,17,,,1,,1,,,,3,,,,
東雲,801,417,384,18,92,26,27,20,18,13,24,9,54,5,4,1,,,1,14,1,2,,2,,,16,4,,,,6,2,22,,,,,2,,,,1,,,,
八坂,473,181,292,20,25,40,33,18,3,7,13,24,15,10,,1,3,,1,6,3,4,2,15,,,18,4,,,,2,4,19,,,,,,,,2,,,,,
素鵞,1810,676,1134,11,19,28,317,69,21,28,31,96,52,30,10,5,14,,3,28,9,5,13,23,1,,82,15,,3,2,22,7,167,4,,,3,1,1,7,3,,,2,,2
雄郡,3035,1389,1646,28,21,33,73,576,64,45,49,46,51,112,47,27,6,,5,26,20,13,13,107,,,41,11,,,1,17,12,156,12,,,1,2,3,22,3,2,,1,,
新玉,1205,511,694,10,15,11,25,92,158,58,26,22,13,43,23,5,17,6,4,27,2,13,23,22,1,,17,1,,,,2,2,50,2,,,,,,2,1,1,,,,
味酒,1838,889,949,23,13,14,38,60,50,217,96,32,35,44,16,6,23,2,5,82,14,22,9,19,,,29,5,,1,5,8,6,57,1,,,,2,3,2,7,2,,,1,
清水,2125,985,1140,14,31,14,36,57,39,96,307,34,76,40,24,16,18,4,7,73,33,22,31,16,,,26,5,,6,2,8,8,65,12,,,1,,,6,2,8,,3,,
桑原,1923,667,1256,6,12,19,110,42,19,23,31,475,64,25,20,3,4,5,2,24,6,5,6,29,,1,114,23,,7,,37,12,103,13,2,1,1,1,,3,2,4,,2,,
道後,2112,1046,1066,34,65,23,42,48,25,27,46,79,381,15,15,5,4,2,4,26,18,2,8,23,,,50,33,,5,1,7,4,55,4,3,1,,,,4,,7,,,,
味生,1906,709,1197,2,11,10,24,74,38,36,20,21,21,404,122,27,48,30,13,54,14,21,18,48,,1,43,7,,1,,10,4,50,1,,1,,,5,5,5,6,,1,1,
