全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
382019,A000000001,愛媛県松山市,三津浜幼稚園,ミツハマヨウチエン,,公立幼稚園,382019,,愛媛県松山市神田町1-41,愛媛県,松山市,神田町,1-41,,33.86113457,132.71882,,,,,(089)951-0831,,(089)952-9944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,A000000002,愛媛県松山市,五明幼稚園,ゴミョウヨウチエン,,公立幼稚園,382019,,愛媛県松山市菅沢町乙45-4,愛媛県,松山市,菅沢町,乙45-4,,33.90358063,132.8183867,,,,,(089)977-1630,,(089)977-8644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,A000000003,愛媛県松山市,石井幼稚園,イシイヨウチエン,,公立幼稚園,382019,,愛媛県松山市西石井6-4-29,愛媛県,松山市,西石井6,4-29,,33.81244748,132.7745133,,,,,(089)956-0089,,(089)958-9944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,A000000004,愛媛県松山市,荏原幼稚園,エバラヨウチエン,,公立幼稚園,382019,,愛媛県松山市東方町甲1493-3,愛媛県,松山市,東方町,甲1493-3,,33.76900679,132.8167258,,,,,(089)963-1103,,(089)963-4644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,A000000005,愛媛県松山市,坂本幼稚園,サカモトヨウチエン,,公立幼稚園,382019,,愛媛県松山市久谷町24,愛媛県,松山市,久谷町,24,,33.74933128,132.8249333,,,,,(089)963-1154,,(089)963-4144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,A000000006,愛媛県松山市,愛媛大学教育学部附属幼稚園,エヒメダイガクキョウイクガクブフゾクヨウチエン,,公立幼稚園,382019,,愛媛県松山市持田町1-5-22,愛媛県,松山市,持田町1,5-22,,33.8440674,132.782917,,,,,(089)913-7857,,(089)913-7858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000001,愛媛県松山市,久枝幼稚園,ヒサエダヨウチエン,,私立幼稚園,382019,,愛媛県松山市安城寺町215,愛媛県,松山市,安城寺町,215,,33.8726167,132.7414691,,,,,(089)924-8870,,(089)924-4570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000002,愛媛県松山市,久米幼稚園,クメヨウチエン,,私立幼稚園,382019,,愛媛県松山市南久米町681-1,愛媛県,松山市,南久米町,681-1,,33.8109561,132.8042994,,,,,(089)975-2422,,(089)975-2422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000003,愛媛県松山市,日本基督教団松山番町教会附属親愛幼稚園,ニホンキリストキョウダンマツヤマバンチョウキョウカイフゾクシンアイヨウチエン,,私立幼稚園,382019,,愛媛県松山市二番町3-10-7,愛媛県,松山市,二番町3,10-7,,33.8405935,132.7683611,,,,,(089)921-6773,,(089)921-6773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000004,愛媛県松山市,松山のぞみ幼稚園,マツヤマノゾミヨウチエン,,私立幼稚園,382019,,愛媛県松山市来住町1038-1,愛媛県,松山市,来住町,1038-1,,33.8010449,132.797444,,,,,(089)970-4744,,(089)970-4771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
