分類,名称,所在地,備考,X,Y
学校,双葉小学校,松山市土居田町123-3, ,132.7524119,33.82347137
学校,雄郡小学校,松山市土橋町1, ,132.7576083,33.83165378
学校,伊台小学校,松山市下伊台町1438-1, ,132.7985354,33.87746812
学校,道後小学校,松山市石手4丁目10-5, ,132.7917549,33.8453844
学校,三津浜小学校,松山市梅田町2-42, ,132.7145307,33.85992471
学校,高浜小学校,松山市梅津寺町1352-2, ,132.7089354,33.87619557
学校,津和地小学校,松山市津和地1588,休校,132.5081638,33.9757841
学校,釣島分校,松山市泊町1465,休校,132.6376991,33.89452635
学校,荏原小学校,松山市東方町甲1245,,132.8174958,33.76858866
学校,天谷小学校,松山市吉木甲77番地3,廃校・取壊し,132.5952311,33.97615417
学校,椿小学校,松山市和泉南6丁目1-47, ,132.7600051,33.81126827
学校,桑原小学校,松山市桑原3丁目7-27, ,132.792971,33.83544011
学校,清水小学校,松山市清水町3丁目15, ,132.7671159,33.8518891
学校,坂本小学校,松山市久谷町30,,132.825726,33.74936669
学校,中島東小学校,松山市中島大浦3021番地,廃校・取壊し,132.6271683,33.97406102
学校,生石小学校,松山市高岡町630-3, ,132.7160888,33.83165021
学校,番町小学校,松山市二番町4丁目6-1, ,132.7664531,33.8397414
学校,浅海小学校,松山市浅海本谷甲728, ,132.8031909,34.0093969
学校,潮見小学校,松山市吉藤4丁目7-13, ,132.7550042,33.87463501
学校,野忽那小学校,松山市野忽那甲1540-1,休校,132.689451,33.97549757
学校,垣生小学校,松山市西垣生町730-1, ,132.7053558,33.81390863
学校,久枝小学校,松山市安城寺町586-1, ,132.7405872,33.87155573
学校,日浦小学校,松山市河中町甲79-2, ,132.8715148,33.90027182
学校,八坂小学校,松山市湯渡町4-20, ,132.7819593,33.83993241
学校,余土小学校,松山市余戸東1丁目14-17, ,132.736499,33.8151642
学校,宮前小学校,松山市祓川1丁目3-39, ,132.7205871,33.85943844
学校,睦月小学校,松山市睦月甲1068-6,休校,132.6644918,33.95760884
学校,たちばな小学校,松山市針田町209-1, ,132.7342948,33.82368047
学校,中島南小学校,松山市宮野1651番地,廃校・取壊し,132.6125292,33.95715596
学校,泊小学校,松山市泊町618番地の1,廃校,132.6798004,33.88164374
学校,さくら小学校,松山市余戸中4丁目11-1, ,132.7284334,33.81832758
学校,愛媛大学教育学部附属小学校,松山市持田町1丁目5-22, ,132.7830465,33.84337457
学校,難波小学校,松山市中通甲807-1, ,132.7942151,33.9830475
学校,姫山小学校,松山市山越3丁目800, ,132.7629213,33.86358594
学校,北久米小学校,松山市福音寺町9, ,132.7984092,33.82049342
学校,由良小学校,松山市由良町873-1,廃校・取壊し,132.6800185,33.90447416
学校,味酒小学校,松山市宮西2丁目2-21, ,132.7526377,33.84764624
学校,素鵞小学校,松山市小坂1丁目4-48, ,132.7800889,33.83531528
学校,北条小学校,松山市北条辻64, ,132.7790789,33.97492806
